Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.08466,0.16897,-0.235906075,0.5674,0
28/07/2023 01:00,0.0853,0.17027,-0.214051558,0.63843,0
28/07/2023 02:00,0.08594,0.17157,-0.169624026,0.70947,0
28/07/2023 03:00,0.08658,0.17288,-0.112561618,0.7805,0
28/07/2023 04:00,0.08722,0.17418,-0.05245974,0.85153,0
28/07/2023 05:00,0.08786,0.17548,0.00275686,0.92256,1
28/07/2023 06:00,0.0885,0.17678,0.047143997,0.9936,1
28/07/2023 07:00,0.08915,0.17808,0.077135579,1.06463,1
28/07/2023 08:00,0.08979,0.17939,0.092434999,1.13566,1
28/07/2023 09:00,0.09043,0.18069,0.096611098,1.2067,1
28/07/2023 10:00,0.09107,0.18199,0.09621043,1.27773,1
28/07/2023 11:00,0.09171,0.18329,0.098110058,1.34876,1
28/07/2023 12:00,0.09235,0.1846,0.106304613,1.4198,1
28/07/2023 13:00,0.09299,0.1859,0.120016302,1.49083,1
28/07/2023 14:00,0.09363,0.1872,0.134250244,1.56186,1
28/07/2023 15:00,0.09427,0.1885,0.142279135,1.63289,1
28/07/2023 16:00,0.09491,0.1898,0.13837159,1.70393,1
28/07/2023 17:00,0.09555,0.19111,0.119282462,1.77496,1
28/07/2023 18:00,0.0962,0.19241,0.084296159,1.84599,1
28/07/2023 19:00,0.09684,0.19371,0.034762299,1.91703,1
28/07/2023 20:00,0.09748,0.19501,-0.025898424,1.98806,0
28/07/2023 21:00,0.09812,0.19631,-0.091720158,2.05909,0
28/07/2023 22:00,0.09876,0.19762,-0.15421382,2.13012,0
28/07/2023 23:00,0.0994,0.19892,-0.203797278,2.20116,0
29/07/2023 00:00,0.10004,0.20022,-0.232451148,2.27219,0
29/07/2023 01:00,0.10013,0.2004,-0.236248611,2.27116,0
29/07/2023 02:00,0.10023,0.20058,-0.216249258,2.27013,0
29/07/2023 03:00,0.10032,0.20075,-0.177309943,2.26911,0
29/07/2023 04:00,0.10041,0.20093,-0.125784937,2.26808,0
29/07/2023 05:00,0.10051,0.20111,-0.067683965,2.26705,0
29/07/2023 06:00,0.1006,0.20129,-0.00817622,2.26602,0
29/07/2023 07:00,0.10069,0.20147,0.04797007,2.26499,1
29/07/2023 08:00,0.10079,0.20164,0.096171096,2.26397,1
29/07/2023 09:00,0.10088,0.20182,0.132759578,2.26294,1
29/07/2023 10:00,0.10097,0.202,0.156235789,2.26191,1
29/07/2023 11:00,0.10107,0.20218,0.167845824,2.26088,1
29/07/2023 12:00,0.10116,0.20236,0.170677348,2.25986,1
29/07/2023 13:00,0.10125,0.20253,0.167684158,2.25883,1
29/07/2023 14:00,0.10135,0.20271,0.160017356,2.2578,1
29/07/2023 15:00,0.10144,0.20289,0.146857079,2.25677,1
29/07/2023 16:00,0.10153,0.20307,0.126727277,2.25574,1
29/07/2023 17:00,0.10163,0.20324,0.099087529,2.25472,1
29/07/2023 18:00,0.10172,0.20342,0.064875571,2.25369,1
29/07/2023 19:00,0.10181,0.2036,0.025718976,2.25266,1
29/07/2023 20:00,0.10191,0.20378,-0.017206577,2.25163,0
29/07/2023 21:00,0.102,0.20396,-0.063372235,2.2506,0
29/07/2023 22:00,0.10209,0.20413,-0.111763773,2.24958,0
29/07/2023 23:00,0.10219,0.20431,-0.159374223,2.24855,0
30/07/2023 00:00,0.10228,0.20449,-0.200788566,2.24752,0
30/07/2023 01:00,0.10425,0.20844,-0.229515769,2.28551,0
30/07/2023 02:00,0.10623,0.2124,-0.240277379,2.32351,0
30/07/2023 03:00,0.1082,0.21635,-0.230670765,2.3615,0
30/07/2023 04:00,0.11017,0.2203,-0.201205682,2.39949,0
30/07/2023 05:00,0.11215,0.22425,-0.154140395,2.43749,0
30/07/2023 06:00,0.11412,0.2282,-0.092510197,2.47548,0
30/07/2023 07:00,0.11609,0.23216,-0.020350018,2.51347,0
30/07/2023 08:00,0.11807,0.23611,0.056277361,2.55147,1
30/07/2023 09:00,0.12004,0.24006,0.128909598,2.58946,1
30/07/2023 10:00,0.12201,0.24402,0.18811752,2.62745,1
30/07/2023 11:00,0.12399,0.24797,0.22637772,2.66545,1
