Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.17904,0.35807,-0.153646339,1.8893,0
28/07/2023 01:00,0.17772,0.35544,-0.202208932,1.91816,0
28/07/2023 02:00,0.1764,0.35282,-0.206572941,1.94702,0
28/07/2023 03:00,0.17508,0.35019,-0.173651647,1.97588,0
28/07/2023 04:00,0.17376,0.34756,-0.118485261,2.00474,0
28/07/2023 05:00,0.17244,0.34494,-0.061207534,2.0336,0
28/07/2023 06:00,0.17112,0.34231,-0.021829995,2.06246,0
28/07/2023 07:00,0.16979,0.33968,-0.014071831,2.09132,0
28/07/2023 08:00,0.16847,0.33706,-0.040706662,2.12018,0
28/07/2023 09:00,0.16715,0.33443,-0.092611573,2.14904,0
28/07/2023 10:00,0.16583,0.3318,-0.151932444,2.1779,0
28/07/2023 11:00,0.16451,0.32918,-0.197787743,2.20676,0
28/07/2023 12:00,0.16319,0.32655,-0.212093211,2.23562,0
28/07/2023 13:00,0.16187,0.32392,-0.183752134,2.26447,0
28/07/2023 14:00,0.16055,0.3213,-0.11078686,2.29333,0
28/07/2023 15:00,0.15923,0.31867,-0.000827007,2.32219,0
28/07/2023 16:00,0.15791,0.31604,0.129740004,2.35105,1
28/07/2023 17:00,0.15659,0.31342,0.258182576,2.37991,1
28/07/2023 18:00,0.15526,0.31079,0.359696797,2.40877,1
28/07/2023 19:00,0.15394,0.30816,0.413076163,2.43763,1
28/07/2023 20:00,0.15262,0.30554,0.406251562,2.46649,1
28/07/2023 21:00,0.1513,0.30291,0.339703368,2.49535,1
28/07/2023 22:00,0.14998,0.30028,0.226382483,2.52421,1
28/07/2023 23:00,0.14866,0.29766,0.088198652,2.55307,1
29/07/2023 00:00,0.14734,0.29503,-0.049532877,2.58193,0
29/07/2023 01:00,0.14689,0.29407,-0.163797302,2.57889,0
29/07/2023 02:00,0.14644,0.29311,-0.238288083,2.57586,0
29/07/2023 03:00,0.14599,0.29216,-0.265927072,2.57282,0
29/07/2023 04:00,0.14554,0.2912,-0.249542266,2.56978,0
29/07/2023 05:00,0.14509,0.29024,-0.200875854,2.56675,0
29/07/2023 06:00,0.14464,0.28928,-0.137948578,2.56371,0
29/07/2023 07:00,0.14419,0.28832,-0.08085533,2.56067,0
29/07/2023 08:00,0.14374,0.28737,-0.046566692,2.55764,0
29/07/2023 09:00,0.14329,0.28641,-0.044040263,2.5546,0
29/07/2023 10:00,0.14284,0.28545,-0.071336143,2.55156,0
29/07/2023 11:00,0.14239,0.28449,-0.116006013,2.54853,0
29/07/2023 12:00,0.14194,0.28353,-0.158820677,2.54549,0
29/07/2023 13:00,0.14149,0.28258,-0.179530698,2.54245,0
29/07/2023 14:00,0.14104,0.28162,-0.162622149,2.53942,0
29/07/2023 15:00,0.14059,0.28066,-0.101340591,2.53638,0
29/07/2023 16:00,0.14014,0.2797,0.000703848,2.53334,0
29/07/2023 17:00,0.13969,0.27875,0.130066392,2.53031,1
29/07/2023 18:00,0.13924,0.27779,0.265571964,2.52727,1
29/07/2023 19:00,0.13879,0.27683,0.381774523,2.52423,1
29/07/2023 20:00,0.13834,0.27587,0.453816515,2.5212,1
29/07/2023 21:00,0.13789,0.27491,0.46329077,2.51816,1
29/07/2023 22:00,0.13744,0.27396,0.403677531,2.51512,1
29/07/2023 23:00,0.13699,0.273,0.283208741,2.51209,1
30/07/2023 00:00,0.13654,0.27204,0.123514391,2.50905,1
