Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.08976,0.17955,-0.14439268,1.12573,0
28/07/2023 01:00,0.0902,0.18043,-0.196320217,1.13097,0
28/07/2023 02:00,0.09064,0.1813,-0.202940612,1.13622,0
28/07/2023 03:00,0.09108,0.18218,-0.172016138,1.14146,0
28/07/2023 04:00,0.09152,0.18306,-0.11991233,1.14671,0
28/07/2023 05:00,0.09196,0.18393,-0.067847336,1.15195,0
28/07/2023 06:00,0.0924,0.18481,-0.03600588,1.1572,0
28/07/2023 07:00,0.09284,0.18568,-0.037196487,1.16244,0
28/07/2023 08:00,0.09328,0.18656,-0.072591412,1.16768,0
28/07/2023 09:00,0.09372,0.18744,-0.131392559,1.17293,0
28/07/2023 10:00,0.09416,0.18831,-0.194410164,1.17817,0
28/07/2023 11:00,0.0946,0.18919,-0.239832432,1.18342,0
28/07/2023 12:00,0.09504,0.19006,-0.248983721,1.18866,0
28/07/2023 13:00,0.09548,0.19094,-0.210621301,1.1939,0
28/07/2023 14:00,0.09592,0.19182,-0.123398307,1.19915,0
28/07/2023 15:00,0.09636,0.19269,0.003377745,1.20439,0
28/07/2023 16:00,0.0968,0.19357,0.150752087,1.20964,1
28/07/2023 17:00,0.09724,0.19445,0.293210204,1.21488,1
28/07/2023 18:00,0.09768,0.19532,0.403824514,1.22012,1
28/07/2023 19:00,0.09812,0.1962,0.460510835,1.22537,1
28/07/2023 20:00,0.09856,0.19708,0.451585502,1.23061,1
28/07/2023 21:00,0.099,0.19795,0.378747118,1.23586,1
28/07/2023 22:00,0.09944,0.19883,0.256495258,1.2411,1
28/07/2023 23:00,0.09988,0.1997,0.108329977,1.24635,1
29/07/2023 00:00,0.10032,0.20058,-0.03889921,1.25159,0
29/07/2023 01:00,0.09999,0.19992,-0.160841277,1.23988,0
29/07/2023 02:00,0.09966,0.19927,-0.240388509,1.22816,0
29/07/2023 03:00,0.09933,0.19861,-0.270589291,1.21645,0
29/07/2023 04:00,0.099,0.19795,-0.255435171,1.20473,0
29/07/2023 05:00,0.09867,0.1973,-0.208464453,1.19302,0
29/07/2023 06:00,0.09834,0.19664,-0.149329395,1.18131,0
29/07/2023 07:00,0.098,0.19598,-0.098824135,1.16959,0
29/07/2023 08:00,0.09767,0.19533,-0.073364023,1.15788,0
29/07/2023 09:00,0.09734,0.19467,-0.080329615,1.14617,0
29/07/2023 10:00,0.09701,0.19401,-0.115732083,1.13445,0
29/07/2023 11:00,0.09668,0.19336,-0.165121139,1.12274,0
29/07/2023 12:00,0.09635,0.1927,-0.207629452,1.11102,0
29/07/2023 13:00,0.09602,0.19204,-0.221938131,1.09931,0
29/07/2023 14:00,0.09569,0.19139,-0.192298714,1.0876,0
29/07/2023 15:00,0.09536,0.19073,-0.112891029,1.07588,0
29/07/2023 16:00,0.09503,0.19007,0.010403708,1.06417,0
29/07/2023 17:00,0.0947,0.18942,0.160816947,1.05246,1
29/07/2023 18:00,0.09436,0.18876,0.31359072,1.04074,1
29/07/2023 19:00,0.09403,0.1881,0.440450816,1.02903,1
29/07/2023 20:00,0.0937,0.18745,0.515231574,1.01732,1
29/07/2023 21:00,0.09337,0.18679,0.519926307,1.0056,1
29/07/2023 22:00,0.09304,0.18613,0.44975681,0.99389,1
29/07/2023 23:00,0.09271,0.18548,0.315415846,0.98217,1
30/07/2023 00:00,0.09238,0.18482,0.141151831,0.97046,1
30/07/2023 01:00,0.0922,0.18446,-0.041097032,0.97968,0
30/07/2023 02:00,0.09202,0.18409,-0.199581184,0.9889,0
30/07/2023 03:00,0.09185,0.18372,-0.309921359,0.99813,0
30/07/2023 04:00,0.09167,0.18336,-0.359579197,1.00735,0
30/07/2023 05:00,0.09149,0.183,-0.349147786,1.01657,0
30/07/2023 06:00,0.09131,0.18263,-0.291164253,1.02579,0
30/07/2023 07:00,0.09113,0.18226,-0.20720849,1.03501,0
30/07/2023 08:00,0.09095,0.1819,-0.123422008,1.04424,0
30/07/2023 09:00,0.09078,0.18154,-0.064385958,1.05346,0
30/07/2023 10:00,0.0906,0.18117,-0.046193779,1.06268,0
30/07/2023 11:00,0.09042,0.1808,-0.07093814,1.0719,0
30/07/2023 12:00,0.09024,0.18044,-0.125279304,1.08112,0
30/07/2023 13:00,0.09006,0.18008,-0.184376685,1.09035,0
30/07/2023 14:00,0.08988,0.17971,-0.219882333,1.09957,0
30/07/2023 15:00,0.0897,0.17934,-0.208709426,1.10879,0
30/07/2023 16:00,0.08953,0.17898,-0.139341004,1.11801,0
30/07/2023 17:00,0.08935,0.17862,-0.014327142,1.12724,0
30/07/2023 18:00,0.08917,0.17825,0.150347221,1.13646,1
30/07/2023 19:00,0.08899,0.17788,0.327765297,1.14568,1
30/07/2023 20:00,0.08881,0.17752,0.484122425,1.1549,1
30/07/2023 21:00,0.08864,0.17716,0.584905643,1.16412,1
30/07/2023 22:00,0.08846,0.17679,0.603206858,1.17335,1
30/07/2023 23:00,0.08828,0.17642,0.528155632,1.18257,1
31/07/2023 00:00,0.0881,0.17606,0.369846474,1.19179,1
31/07/2023 01:00,0.088,0.17587,0.157802263,1.17937,1
31/07/2023 02:00,0.0879,0.17567,-0.066983971,1.16696,0
31/07/2023 03:00,0.0878,0.17548,-0.263099607,1.15454,0
31/07/2023 04:00,0.0877,0.17529,-0.398399156,1.14212,0
31/07/2023 05:00,0.0876,0.17509,-0.455577917,1.12971,0
31/07/2023 06:00,0.0875,0.1749,-0.433724417,1.11729,0
31/07/2023 07:00,0.0874,0.17471,-0.347439538,1.10488,0
31/07/2023 08:00,0.0873,0.17451,-0.224324271,1.09246,0
31/07/2023 09:00,0.0872,0.17432,-0.100014553,1.08004,0
31/07/2023 10:00,0.0871,0.17413,-0.009816575,1.06763,0
31/07/2023 11:00,0.087,0.17393,0.021826837,1.05521,0
31/07/2023 12:00,0.0869,0.17374,-0.009944368,1.04279,0
31/07/2023 13:00,0.08681,0.17355,-0.088048821,1.03038,0
31/07/2023 14:00,0.08671,0.17335,-0.179240298,1.01796,0
31/07/2023 15:00,0.08661,0.17316,-0.245447739,1.00555,0
31/07/2023 16:00,0.08651,0.17297,-0.255453239,0.99313,0
31/07/2023 17:00,0.08641,0.17277,-0.192609191,0.98071,0
31/07/2023 18:00,0.08631,0.17258,-0.057630897,0.9683,0
31/07/2023 19:00,0.08621,0.17239,0.131850586,0.95588,1
31/07/2023 20:00,0.08611,0.17219,0.343422989,0.94346,1
31/07/2023 21:00,0.08601,0.172,0.534227869,0.93105,1
31/07/2023 22:00,0.08591,0.17181,0.659139319,0.91863,1
31/07/2023 23:00,0.08581,0.17161,0.6810758519999995,0.90622,1
01/08/2023 00:00,0.08571,0.17142,0.590957931,0.8938,1
01/08/2023 01:00,0.08559,0.17118,0.398056757,0.88439,1
01/08/2023 02:00,0.08547,0.17094,0.142818706,0.87498,1
01/08/2023 03:00,0.08535,0.1707,-0.122625516,0.86556,0
01/08/2023 04:00,0.08523,0.17046,-0.347311609,0.85615,0
01/08/2023 05:00,0.08511,0.17021,-0.492953482,0.84674,0
01/08/2023 06:00,0.08498,0.16997,-0.539911835,0.83733,0
01/08/2023 07:00,0.08486,0.16973,-0.488788732,0.82792,0
