Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,1.34914,2.69805,-0.137933811,7.05152,1
28/07/2023 01:00,1.34851,2.6968,-0.180886893,7.10917,1
28/07/2023 02:00,1.34789,2.69555,-0.183462949,7.16683,1
28/07/2023 03:00,1.34726,2.6943,-0.154076688,7.22448,1
28/07/2023 04:00,1.34664,2.69305,-0.108096303,7.28214,1
28/07/2023 05:00,1.34601,2.6918,-0.06458221,7.33979,1
28/07/2023 06:00,1.34538,2.69055,-0.041226808,7.39744,1
28/07/2023 07:00,1.34476,2.6893,-0.048707707,7.4551,1
28/07/2023 08:00,1.34413,2.68805,-0.086757985,7.51275,1
28/07/2023 09:00,1.3435,2.6868,-0.143911915,7.57041,1
28/07/2023 10:00,1.34288,2.68555,-0.20115697,7.62806,1
28/07/2023 11:00,1.34225,2.6843,-0.237826579,7.68572,1
28/07/2023 12:00,1.34162,2.68304,-0.237320167,7.74337,1
28/07/2023 13:00,1.341,2.68179,-0.190961628,7.80102,1
28/07/2023 14:00,1.34037,2.68054,-0.099666916,7.85868,1
28/07/2023 15:00,1.33975,2.67929,0.02607292,7.91633,1
28/07/2023 16:00,1.33912,2.67804,0.167523943,7.97399,0
28/07/2023 17:00,1.33849,2.67679,0.300541898,8.03164,0
28/07/2023 18:00,1.33787,2.67554,0.400145172,8.0893,0
28/07/2023 19:00,1.33724,2.67429,0.446273202,8.14695,0
28/07/2023 20:00,1.33662,2.67304,0.429097812,8.2046,0
28/07/2023 21:00,1.33599,2.67179,0.351866841,8.26226,0
28/07/2023 22:00,1.33536,2.67054,0.230058117,8.31991,0
28/07/2023 23:00,1.33474,2.66929,0.087180975,8.37757,0
29/07/2023 00:00,1.33411,2.66804,-0.051118299,8.43522,1
29/07/2023 01:00,1.33044,2.66071,-0.162676972,8.43671,1
29/07/2023 02:00,1.32678,2.65337,-0.232854874,8.4382,1
29/07/2023 03:00,1.32311,2.64604,-0.256631138,8.4397,1
29/07/2023 04:00,1.31945,2.6387,-0.238919266,8.44119,1
29/07/2023 05:00,1.31578,2.63137,-0.193207386,8.44268,1
29/07/2023 06:00,1.31212,2.62403,-0.138442355,8.44417,1
29/07/2023 07:00,1.30845,2.6167,-0.094297891,8.44566,1
29/07/2023 08:00,1.30478,2.60936,-0.075696589,8.44716,1
29/07/2023 09:00,1.30112,2.60203,-0.088213325,8.44865,1
29/07/2023 10:00,1.29745,2.59469,-0.126099974,8.45014,1
29/07/2023 11:00,1.29379,2.58736,-0.173845004,8.45163,1
29/07/2023 12:00,1.29012,2.58002,-0.210785975,8.45312,1
