Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.80993,1.61966,-0.134547949,2.98668,1
28/07/2023 01:00,0.80946,1.61872,-0.172577217,3.04534,1
28/07/2023 02:00,0.80899,1.61778,-0.172138077,3.10399,1
28/07/2023 03:00,0.80852,1.61684,-0.142076405,3.16265,1
28/07/2023 04:00,0.80805,1.61591,-0.097521946,3.22131,1
28/07/2023 05:00,0.80758,1.61497,-0.056885275,3.27996,1
28/07/2023 06:00,0.80712,1.61403,-0.037109572,3.33862,1
28/07/2023 07:00,0.80665,1.61309,-0.048179317,3.39728,1
28/07/2023 08:00,0.80618,1.61215,-0.089183565,3.45593,1
28/07/2023 09:00,0.80571,1.61121,-0.148060772,3.51459,1
28/07/2023 10:00,0.80524,1.61027,-0.205398646,3.57325,1
28/07/2023 11:00,0.80477,1.60933,-0.240571215,3.6319,1
28/07/2023 12:00,0.8043,1.6084,-0.237583808,3.69056,1
28/07/2023 13:00,0.80383,1.60746,-0.188762942,3.74922,1
28/07/2023 14:00,0.80336,1.60652,-0.096011018,3.80787,1
28/07/2023 15:00,0.80289,1.60558,0.029614973,3.86653,1
28/07/2023 16:00,0.80242,1.60464,0.169383577,3.92519,0
28/07/2023 17:00,0.80195,1.6037,0.299574685,3.98384,0
28/07/2023 18:00,0.80148,1.60276,0.39579461,4.0425,0
28/07/2023 19:00,0.80102,1.60182,0.438584609,4.10116,0
28/07/2023 20:00,0.80055,1.60088,0.418741799,4.15981,0
28/07/2023 21:00,0.80008,1.59995,0.340188168,4.21847,0
28/07/2023 22:00,0.79961,1.59901,0.218996233,4.27713,0
28/07/2023 23:00,0.79914,1.59807,0.078908864,4.33578,0
29/07/2023 00:00,0.79867,1.59713,-0.054793178,4.39444,1
29/07/2023 01:00,0.79692,1.59365,-0.16088479,4.39707,1
29/07/2023 02:00,0.79517,1.59016,-0.225908871,4.3997,1
29/07/2023 03:00,0.79342,1.58668,-0.2458438,4.40232,1
29/07/2023 04:00,0.79167,1.5832,-0.226151475,4.40495,1
29/07/2023 05:00,0.78992,1.57971,-0.180423374,4.40758,1
29/07/2023 06:00,0.78817,1.57623,-0.127426502,4.41021,1
29/07/2023 07:00,0.78642,1.57275,-0.086482658,4.41284,1
29/07/2023 08:00,0.78467,1.56926,-0.071964346,4.41546,1
29/07/2023 09:00,0.78292,1.56578,-0.088646461,4.41809,1
29/07/2023 10:00,0.78117,1.5623,-0.129836279,4.42072,1
29/07/2023 11:00,0.77942,1.55881,-0.179243454,4.42335,1
29/07/2023 12:00,0.77767,1.55533,-0.215942286,4.42598,1
29/07/2023 13:00,0.77592,1.55185,-0.220522195,4.4286,1
29/07/2023 14:00,0.77417,1.54836,-0.180352565,4.43123,1
29/07/2023 15:00,0.77242,1.54488,-0.092724463,4.43386,1
29/07/2023 16:00,0.77067,1.5414,0.034290538,4.43649,1
29/07/2023 17:00,0.76892,1.53791,0.182880433,4.43911,0
29/07/2023 18:00,0.76717,1.53443,0.328185363,4.44174,0
29/07/2023 19:00,0.76542,1.53095,0.442674821,4.44437,0
29/07/2023 20:00,0.76367,1.52746,0.501994441,4.447,0
29/07/2023 21:00,0.76192,1.52398,0.491185547,4.44963,0
