Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.2087,0.41843,-0.2527079,2.39259,1
28/07/2023 01:00,0.21033,0.42171,-0.215527385,2.52525,1
28/07/2023 02:00,0.21196,0.425,-0.164340089,2.65791,1
28/07/2023 03:00,0.2136,0.42828,-0.108669803,2.79057,1
28/07/2023 04:00,0.21523,0.43156,-0.055024331,2.92324,1
28/07/2023 05:00,0.21686,0.43485,-0.005828365,3.0559,1
28/07/2023 06:00,0.21849,0.43813,0.039217742,3.18856,0
28/07/2023 07:00,0.22012,0.44141,0.08096735,3.32122,0
28/07/2023 08:00,0.22175,0.4447,0.119619673,3.45388,0
28/07/2023 09:00,0.22338,0.44798,0.15489721,3.58654,0
28/07/2023 10:00,0.22502,0.45126,0.186558118,3.7192,0
28/07/2023 11:00,0.22665,0.45455,0.214004875,3.85186,0
28/07/2023 12:00,0.22828,0.45783,0.234961494,3.98452,0
28/07/2023 13:00,0.22991,0.46111,0.244555355,4.11719,0
28/07/2023 14:00,0.23154,0.4644,0.236249221,4.24985,0
28/07/2023 15:00,0.23318,0.46768,0.204692941,4.38251,0
28/07/2023 16:00,0.23481,0.47096,0.148881302,4.51517,0
28/07/2023 17:00,0.23644,0.47425,0.073528916,4.64783,0
28/07/2023 18:00,0.23807,0.47753,-0.012227388,4.78049,1
28/07/2023 19:00,0.2397,0.48081,-0.097816638,4.91315,1
28/07/2023 20:00,0.24133,0.4841,-0.173952426,5.04581,1
28/07/2023 21:00,0.24296,0.48738,-0.233770311,5.17848,1
28/07/2023 22:00,0.2446,0.49066,-0.27263006,5.31114,1
28/07/2023 23:00,0.24623,0.49395,-0.287837107,5.4438,1
29/07/2023 00:00,0.24786,0.49723,-0.279140955,5.57646,1
29/07/2023 01:00,0.24892,0.49929,-0.249570325,5.59351,1
29/07/2023 02:00,0.24998,0.50135,-0.205315374,5.61057,1
29/07/2023 03:00,0.25104,0.5034,-0.153878226,5.62762,1
29/07/2023 04:00,0.2521,0.50546,-0.101194986,5.64467,1
29/07/2023 05:00,0.25315,0.50752,-0.04954013,5.66172,1
29/07/2023 06:00,0.25421,0.50958,0.002311533,5.67878,1
29/07/2023 07:00,0.25527,0.51164,0.056775125,5.69583,0
29/07/2023 08:00,0.25633,0.5137,0.114637605,5.71288,0
29/07/2023 09:00,0.25739,0.51575,0.173584153,5.72994,0
29/07/2023 10:00,0.25845,0.51781,0.228708734,5.74699,0
29/07/2023 11:00,0.25951,0.51987,0.2741192,5.76404,0
29/07/2023 12:00,0.26056,0.52193,0.304214941,5.7811,0
29/07/2023 13:00,0.26162,0.52399,0.314024329,5.79815,0
29/07/2023 14:00,0.26268,0.52605,0.299245682,5.8152,0
29/07/2023 15:00,0.26374,0.5281,0.257066892,5.83225,0
29/07/2023 16:00,0.2648,0.53016,0.187989541,5.84931,0
29/07/2023 17:00,0.26586,0.53222,0.097546398,5.86636,0
29/07/2023 18:00,0.26692,0.53428,-0.003706321,5.88341,1
29/07/2023 19:00,0.26798,0.53634,-0.102601365,5.90047,1
29/07/2023 20:00,0.26904,0.5384,-0.187157481,5.91752,1
29/07/2023 21:00,0.27009,0.54045,-0.249696041,5.93457,1
29/07/2023 22:00,0.27115,0.54251,-0.287716073,5.95162,1
29/07/2023 23:00,0.27221,0.54457,-0.302593917,5.96868,1
30/07/2023 00:00,0.27327,0.54663,-0.297553612,5.98573,1
30/07/2023 01:00,0.27654,0.55317,-0.27638505,6.02777,1
30/07/2023 02:00,0.27981,0.55972,-0.243201227,6.06981,1
30/07/2023 03:00,0.28308,0.56626,-0.202332877,6.11185,1
30/07/2023 04:00,0.28636,0.5728,-0.157412129,6.15389,1
30/07/2023 05:00,0.28963,0.57934,-0.109820149,6.19593,1
30/07/2023 06:00,0.2929,0.58589,-0.057832927,6.23796,1
30/07/2023 07:00,0.29617,0.59243,0.002241197,6.28,1
30/07/2023 08:00,0.29944,0.59897,0.07303564,6.32204,0
30/07/2023 09:00,0.30271,0.60552,0.152934996,6.36408,0
30/07/2023 10:00,0.30598,0.61206,0.234847246,6.40612,0
30/07/2023 11:00,0.30925,0.6186,0.307810674,6.44816,0
30/07/2023 12:00,0.31252,0.62514,0.360384752,6.4902,0
30/07/2023 13:00,0.3158,0.63169,0.383759043,6.53224,0
30/07/2023 14:00,0.31907,0.63823,0.373172157,6.57428,0
30/07/2023 15:00,0.32234,0.64477,0.327849864,6.61632,0
30/07/2023 16:00,0.32561,0.65132,0.250723314,6.65836,0
30/07/2023 17:00,0.32888,0.65786,0.148750894,6.7004,0
30/07/2023 18:00,0.33215,0.6644,0.033272719,6.74244,0
30/07/2023 19:00,0.33542,0.67095,-0.081037425,6.78447,1
30/07/2023 20:00,0.3387,0.67749,-0.179364986,6.82651,1
30/07/2023 21:00,0.34197,0.68403,-0.251041004,6.86855,1
30/07/2023 22:00,0.34524,0.69057,-0.292568599,6.91059,1
30/07/2023 23:00,0.34851,0.69712,-0.307515123,6.95263,1
31/07/2023 00:00,0.35178,0.70366,-0.303416697,6.99467,1
