Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.05758,0.11486,-0.376104243,6.41178,0
28/07/2023 01:00,0.05827,0.11626,-0.335796462,6.44927,0
28/07/2023 02:00,0.05896,0.11765,-0.276719256,6.48676,0
28/07/2023 03:00,0.05964,0.11905,-0.205061073,6.52425,0
28/07/2023 04:00,0.06033,0.12044,-0.126428395,6.56174,0
28/07/2023 05:00,0.06102,0.12184,-0.044923178,6.59924,0
28/07/2023 06:00,0.06171,0.12324,0.037216716,6.63673,1
28/07/2023 07:00,0.0624,0.12463,0.119116711,6.67422,1
28/07/2023 08:00,0.06309,0.12603,0.200035739,6.71171,1
28/07/2023 09:00,0.06378,0.12742,0.277967982,6.7492,1
28/07/2023 10:00,0.06446,0.12882,0.348741794,6.78669,1
28/07/2023 11:00,0.06515,0.13021,0.406003543,6.82418,1
28/07/2023 12:00,0.06584,0.13161,0.442049164,6.86168,1
28/07/2023 13:00,0.06653,0.13301,0.449192973,6.89917,1
28/07/2023 14:00,0.06722,0.1344,0.421343861,6.93666,1
28/07/2023 15:00,0.0679,0.1358,0.355553632,6.97415,1
28/07/2023 16:00,0.06859,0.13719,0.253316867,7.01164,1
28/07/2023 17:00,0.06928,0.13859,0.121303248,7.04913,1
28/07/2023 18:00,0.06997,0.13998,-0.028851172,7.08662,0
28/07/2023 19:00,0.07066,0.14138,-0.181904243,7.12411,0
28/07/2023 20:00,0.07135,0.14278,-0.321353632,7.1616,0
28/07/2023 21:00,0.07204,0.14417,-0.432214599,7.1991,0
28/07/2023 22:00,0.07272,0.14557,-0.503509355,7.23659,0
28/07/2023 23:00,0.07341,0.14696,-0.529877707,7.27408,0
29/07/2023 00:00,0.0741,0.14836,-0.512025628,7.31157,0
29/07/2023 01:00,0.07424,0.14863,-0.456028692,7.10729,0
29/07/2023 02:00,0.07437,0.1489,-0.371708492,6.903,0
29/07/2023 03:00,0.07451,0.14916,-0.270431835,6.69872,0
29/07/2023 04:00,0.07465,0.14943,-0.16279963,6.49444,0
29/07/2023 05:00,0.07479,0.1497,-0.056770844,6.29016,0
29/07/2023 06:00,0.07492,0.14997,0.043287102,6.08587,1
29/07/2023 07:00,0.07506,0.15024,0.136373316,5.88159,1
29/07/2023 08:00,0.0752,0.1505,0.223571364,5.67731,1
29/07/2023 09:00,0.07533,0.15077,0.306156484,5.47302,1
29/07/2023 10:00,0.07547,0.15104,0.383696282,5.26874,1
29/07/2023 11:00,0.07561,0.15131,0.452714839,5.06446,1
29/07/2023 12:00,0.07575,0.15158,0.5063323,4.86018,1
29/07/2023 13:00,0.07588,0.15184,0.535076096,4.65589,1
29/07/2023 14:00,0.07602,0.15211,0.528796396,4.45161,1
29/07/2023 15:00,0.07616,0.15238,0.479307835,4.24733,1
29/07/2023 16:00,0.07629,0.15265,0.383091278,4.04304,1
29/07/2023 17:00,0.07643,0.15291,0.243265455,3.83876,1
29/07/2023 18:00,0.07657,0.15318,0.070190433,3.63448,1
29/07/2023 19:00,0.0767,0.15345,-0.119539941,3.43019,0
29/07/2023 20:00,0.07684,0.15372,-0.305501905,3.22591,0
29/07/2023 21:00,0.07698,0.15399,-0.46670473,3.02163,0
29/07/2023 22:00,0.07712,0.15425,-0.5850585,2.81735,0
29/07/2023 23:00,0.07725,0.15452,-0.648406026,2.61306,0
30/07/2023 00:00,0.07739,0.15479,-0.65252586,2.40878,0
30/07/2023 01:00,0.07707,0.15416,-0.601608323,2.34766,0
30/07/2023 02:00,0.07676,0.15352,-0.506959574,2.28653,0
30/07/2023 03:00,0.07644,0.15289,-0.384153838,2.22541,0
30/07/2023 04:00,0.07612,0.15225,-0.249389416,2.16428,0
30/07/2023 05:00,0.0758,0.15162,-0.116119848,2.10316,0
30/07/2023 06:00,0.07548,0.15098,0.00709062,2.04203,1
30/07/2023 07:00,0.07517,0.15034,0.117045216,1.9809,1
30/07/2023 08:00,0.07485,0.14971,0.214874489,1.91978,1
30/07/2023 09:00,0.07453,0.14908,0.303990252,1.85866,1
30/07/2023 10:00,0.07422,0.14844,0.387611631,1.79753,1
30/07/2023 11:00,0.0739,0.14781,0.466383445,1.7364,1
30/07/2023 12:00,0.07358,0.14717,0.536621805,1.67528,1
30/07/2023 13:00,0.07326,0.14654,0.58978789,1.61416,1
30/07/2023 14:00,0.07294,0.1459,0.613675218,1.55303,1
30/07/2023 15:00,0.07263,0.14526,0.59531374,1.4919,1
30/07/2023 16:00,0.07231,0.14463,0.524871725,1.43078,1
30/07/2023 17:00,0.07199,0.144,0.399291369,1.36966,1
30/07/2023 18:00,0.07168,0.14336,0.224414317,1.30853,1
30/07/2023 19:00,0.07136,0.14273,0.014954772,1.24741,1
30/07/2023 20:00,0.07104,0.14209,-0.207529799,1.18628,0
30/07/2023 21:00,0.07072,0.14146,-0.418009532,1.12516,0
30/07/2023 22:00,0.0704,0.14082,-0.591968359,1.06403,0
30/07/2023 23:00,0.07009,0.14018,-0.6936174816,1.0029,0
31/07/2023 00:00,0.06977,0.13955,-0.6936174816,0.94178,0
31/07/2023 01:00,0.06955,0.13911,-0.6936174816,0.93935,0
31/07/2023 02:00,0.06933,0.13867,-0.654428994,0.93692,0
31/07/2023 03:00,0.06911,0.13823,-0.526765798,0.93448,0
31/07/2023 04:00,0.06889,0.13778,-0.374668106,0.93205,0
31/07/2023 05:00,0.06867,0.13734,-0.217495957,0.92962,0
31/07/2023 06:00,0.06845,0.1369,-0.069650821,0.92719,0
31/07/2023 07:00,0.06823,0.13646,0.061242976,0.92476,1
31/07/2023 08:00,0.06801,0.13602,0.174019132,0.92233,1
31/07/2023 09:00,0.06779,0.13558,0.27212958,0.91989,1
31/07/2023 10:00,0.06757,0.13514,0.36102665,0.91746,1
31/07/2023 11:00,0.06735,0.1347,0.445271375,0.91503,1
31/07/2023 12:00,0.06713,0.13426,0.525758761,0.9126,1
31/07/2023 13:00,0.06691,0.13381,0.597684026,0.91017,1
31/07/2023 14:00,0.06669,0.13337,0.6190515580600001,0.90774,1
31/07/2023 15:00,0.06647,0.13293,0.6190515580600001,0.9053,1
31/07/2023 16:00,0.06625,0.13249,0.6190515580600001,0.90287,1
31/07/2023 17:00,0.06603,0.13205,0.54514684,0.90044,1
31/07/2023 18:00,0.06581,0.13161,0.392846849,0.89801,1
31/07/2023 19:00,0.06559,0.13117,0.189023557,0.89558,1
31/07/2023 20:00,0.06537,0.13072,-0.047286893,0.89315,0
31/07/2023 21:00,0.06515,0.13028,-0.290441058,0.89071,0
31/07/2023 22:00,0.06493,0.12984,-0.512237873,0.88828,0
31/07/2023 23:00,0.06471,0.1294,-0.686328989,0.88585,0
01/08/2023 00:00,0.06449,0.12896,-0.6936174816,0.88342,0
01/08/2023 01:00,0.06371,0.12741,-0.6936174816,0.91499,0
01/08/2023 02:00,0.06293,0.12586,-0.6936174816,0.94655,0
01/08/2023 03:00,0.06215,0.12431,-0.662380846,0.97812,0
01/08/2023 04:00,0.06137,0.12276,-0.510280799,1.00969,0
01/08/2023 05:00,0.06059,0.12121,-0.340276725,1.04126,0
01/08/2023 06:00,0.05982,0.11966,-0.172773536,1.07282,0
01/08/2023 07:00,0.05904,0.11811,-0.021315679,1.10439,0
01/08/2023 08:00,0.05826,0.11656,0.108439776,1.13596,1
01/08/2023 09:00,0.05748,0.11501,0.217547155,1.16752,1
01/08/2023 10:00,0.0567,0.11346,0.311376267,1.19909,1
01/08/2023 11:00,0.05592,0.11191,0.396720944,1.23066,1
01/08/2023 12:00,0.05514,0.11036,0.478688455,1.26222,1
01/08/2023 13:00,0.05436,0.10881,0.557679676,1.29379,1
01/08/2023 14:00,0.05358,0.10726,0.6190515580600001,1.32536,1
01/08/2023 15:00,0.0528,0.10571,0.6190515580600001,1.35693,1
01/08/2023 16:00,0.05202,0.10416,0.6190515580600001,1.38849,1
01/08/2023 17:00,0.05124,0.10261,0.6190515580600001,1.42006,1
01/08/2023 18:00,0.05046,0.10106,0.524120759,1.45163,1
01/08/2023 19:00,0.04969,0.09951,0.351443829,1.48319,1
01/08/2023 20:00,0.04891,0.09796,0.130096429,1.51476,1
01/08/2023 21:00,0.04813,0.09641,-0.117568182,1.54633,0
01/08/2023 22:00,0.04735,0.09486,-0.363649361,1.5779,0
01/08/2023 23:00,0.04657,0.09331,-0.578989689,1.60946,0
02/08/2023 00:00,0.04579,0.09176,-0.6936174816,1.64103,0
02/08/2023 01:00,0.04614,0.09244,-0.6936174816,1.6526,0
02/08/2023 02:00,0.04649,0.09312,-0.6936174816,1.66417,0
02/08/2023 03:00,0.04683,0.0938,-0.6936174816,1.67574,0
02/08/2023 04:00,0.04718,0.09448,-0.617758771,1.68732,0
02/08/2023 05:00,0.04753,0.09516,-0.45193293,1.69889,0
02/08/2023 06:00,0.04788,0.09584,-0.276602556,1.71046,0
02/08/2023 07:00,0.04823,0.09653,-0.111096396,1.72203,0
02/08/2023 08:00,0.04858,0.09721,0.033252503,1.7336,1
02/08/2023 09:00,0.04892,0.09789,0.153140526,1.74518,1
02/08/2023 10:00,0.04927,0.09857,0.251475886,1.75675,1
02/08/2023 11:00,0.04962,0.09925,0.334814949,1.76832,1
02/08/2023 12:00,0.04997,0.09993,0.410512848,1.77989,1
02/08/2023 13:00,0.05032,0.10061,0.483585093,1.79146,1
02/08/2023 14:00,0.05067,0.10129,0.553625508,1.80303,1
02/08/2023 15:00,0.05102,0.10197,0.61293124,1.8146,1
02/08/2023 16:00,0.05136,0.10265,0.6190515580600001,1.82618,1
02/08/2023 17:00,0.05171,0.10333,0.6190515580600001,1.83775,1
