Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.09772,0.19543,-0.142027655,1.85985,0
28/07/2023 01:00,0.09693,0.19385,-0.199097771,1.84191,0
28/07/2023 02:00,0.09614,0.19227,-0.209782165,1.82396,0
28/07/2023 03:00,0.09535,0.1907,-0.180446135,1.80602,0
28/07/2023 04:00,0.09456,0.18912,-0.126520042,1.78808,0
28/07/2023 05:00,0.09377,0.18754,-0.069321681,1.77013,0
28/07/2023 06:00,0.09298,0.18596,-0.030343157,1.75219,0
28/07/2023 07:00,0.09219,0.18438,-0.024478472,1.73424,0
28/07/2023 08:00,0.0914,0.1828,-0.054962387,1.7163,0
28/07/2023 09:00,0.09061,0.18122,-0.112338924,1.69836,0
28/07/2023 10:00,0.08982,0.17965,-0.177785638,1.68041,0
28/07/2023 11:00,0.08903,0.17807,-0.229045958,1.66247,0
28/07/2023 12:00,0.08824,0.17649,-0.246476773,1.64452,0
28/07/2023 13:00,0.08746,0.17491,-0.217511868,1.62658,0
28/07/2023 14:00,0.08667,0.17333,-0.139176865,1.60864,0
28/07/2023 15:00,0.08588,0.17176,-0.018992476,1.59069,0
28/07/2023 16:00,0.08509,0.17018,0.12564093,1.57275,1
28/07/2023 17:00,0.0843,0.1686,0.269988011,1.55481,1
28/07/2023 18:00,0.08351,0.16702,0.38673512,1.53686,1
28/07/2023 19:00,0.08272,0.16544,0.452283602,1.51892,1
28/07/2023 20:00,0.08193,0.16386,0.45279387,1.50098,1
28/07/2023 21:00,0.08114,0.16228,0.387858269,1.48303,1
28/07/2023 22:00,0.08035,0.16071,0.270484789,1.46509,1
28/07/2023 23:00,0.07956,0.15913,0.123543954,1.44714,1
29/07/2023 00:00,0.07877,0.15755,-0.025920302,1.4292,0
29/07/2023 01:00,0.07838,0.15678,-0.152702218,1.4196,0
29/07/2023 02:00,0.07798,0.15601,-0.238347953,1.41001,0
29/07/2023 03:00,0.07759,0.15524,-0.274252453,1.40041,0
29/07/2023 04:00,0.07719,0.15446,-0.262733946,1.39082,0
29/07/2023 05:00,0.0768,0.15369,-0.216062961,1.38122,0
29/07/2023 06:00,0.0764,0.15292,-0.153484831,1.37162,0
29/07/2023 07:00,0.07601,0.15215,-0.096516462,1.36203,0
29/07/2023 08:00,0.07561,0.15138,-0.063320745,1.35243,0
29/07/2023 09:00,0.07522,0.15061,-0.063552644,1.34284,0
29/07/2023 10:00,0.07482,0.14984,-0.095318962,1.33324,0
29/07/2023 11:00,0.07443,0.14907,-0.145464681,1.32365,0
29/07/2023 12:00,0.07404,0.1483,-0.193309867,1.31405,0
29/07/2023 13:00,0.07364,0.14752,-0.21666764,1.30445,0
29/07/2023 14:00,0.07325,0.14675,-0.19814985,1.29486,0
29/07/2023 15:00,0.07285,0.14598,-0.129864934,1.28526,0
29/07/2023 16:00,0.07246,0.14521,-0.015507427,1.27567,0
29/07/2023 17:00,0.07206,0.14444,0.130115621,1.26607,1
29/07/2023 18:00,0.07167,0.14367,0.283549399,1.25648,1
29/07/2023 19:00,0.07127,0.1429,0.416697782,1.24688,1
29/07/2023 20:00,0.07088,0.14212,0.502173927,1.23728,1
29/07/2023 21:00,0.07048,0.14135,0.519523139,1.22769,1
29/07/2023 22:00,0.07009,0.14058,0.460970843,1.21809,1
29/07/2023 23:00,0.06969,0.13981,0.334602031,1.2085,1
