Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,1.09373,2.18699,-0.133861183,3.75106,1
28/07/2023 01:00,1.09106,2.18166,-0.170738239,3.8451,1
28/07/2023 02:00,1.08839,2.17633,-0.169517261,3.93914,1
28/07/2023 03:00,1.08571,2.171,-0.139174626,4.03318,1
28/07/2023 04:00,1.08304,2.16567,-0.094828263,4.12722,1
28/07/2023 05:00,1.08037,2.16034,-0.054782325,4.22126,1
28/07/2023 06:00,1.0777,2.15501,-0.035839087,4.3153,1
28/07/2023 07:00,1.07503,2.14968,-0.047834852,4.40934,1
28/07/2023 08:00,1.07235,2.14435,-0.089698304,4.50338,1
28/07/2023 09:00,1.06968,2.13902,-0.14919765,4.59742,1
28/07/2023 10:00,1.06701,2.13369,-0.206782103,4.69146,1
28/07/2023 11:00,1.06434,2.12836,-0.241786127,4.7855,1
28/07/2023 12:00,1.06167,2.12303,-0.238315029,4.87954,1
28/07/2023 13:00,1.05899,2.1177,-0.188905885,4.97358,1
28/07/2023 14:00,1.05632,2.11237,-0.095692245,5.06762,1
28/07/2023 15:00,1.05365,2.10704,0.030111698,5.16166,1
28/07/2023 16:00,1.05098,2.10171,0.169732783,5.2557,0
28/07/2023 17:00,1.0483,2.09638,0.299501874,5.34974,0
28/07/2023 18:00,1.04563,2.09105,0.395120451,5.44378,0
28/07/2023 19:00,1.04296,2.08572,0.437242637,5.53782,0
28/07/2023 20:00,1.04029,2.08039,0.416802303,5.63186,0
28/07/2023 21:00,1.03762,2.07506,0.337888061,5.7259,0
28/07/2023 22:00,1.03494,2.06973,0.216736051,5.81994,0
28/07/2023 23:00,1.03227,2.0644,0.077178255,5.91398,0
29/07/2023 00:00,1.0296,2.05907,-0.055554096,6.00802,1
29/07/2023 01:00,1.02703,2.05396,-0.160427882,5.97797,1
29/07/2023 02:00,1.02446,2.04885,-0.224252391,5.94793,1
29/07/2023 03:00,1.02189,2.04374,-0.243249189,5.91788,1
29/07/2023 04:00,1.01932,2.03863,-0.223033273,5.88783,1
29/07/2023 05:00,1.01675,2.03352,-0.177251057,5.85778,1
29/07/2023 06:00,1.01418,2.02841,-0.124654302,5.82774,1
29/07/2023 07:00,1.0116,2.02329,-0.084498923,5.79769,1
29/07/2023 08:00,1.00903,2.01818,-0.071032459,5.76764,1
29/07/2023 09:00,1.00646,2.01307,-0.088833687,5.7376,1
29/07/2023 10:00,1.00389,2.00796,-0.130967977,5.70755,1
29/07/2023 11:00,1.00132,2.00285,-0.180931975,5.6775,1
29/07/2023 12:00,0.99875,1.99774,-0.217703017,5.64746,1
29/07/2023 13:00,0.99618,1.99263,-0.221931174,5.61741,1
29/07/2023 14:00,0.99361,1.98752,-0.181170383,5.58736,1
29/07/2023 15:00,0.99104,1.98241,-0.092935567,5.55731,1
29/07/2023 16:00,0.98847,1.9773,0.034517497,5.52727,1
29/07/2023 17:00,0.9859,1.97219,0.183265397,5.49722,0
29/07/2023 18:00,0.98332,1.96708,0.328402974,5.46717,0
29/07/2023 19:00,0.98075,1.96196,0.442410999,5.43713,0
29/07/2023 20:00,0.97818,1.95685,0.501015316,5.40708,0
29/07/2023 21:00,0.97561,1.95174,0.489425378,5.37703,0
29/07/2023 22:00,0.97304,1.94663,0.406937091,5.34698,0
29/07/2023 23:00,0.97047,1.94152,0.267907293,5.31694,0
30/07/2023 00:00,0.9679,1.93641,0.0983688,5.28689,0
30/07/2023 01:00,0.96479,1.93018,-0.070591331,5.21888,1
30/07/2023 02:00,0.96168,1.92395,-0.210288098,5.15086,1
30/07/2023 03:00,0.95857,1.91772,-0.300391969,5.08285,1
30/07/2023 04:00,0.95546,1.91149,-0.332213126,5.01483,1
30/07/2023 05:00,0.95235,1.90526,-0.30941413,4.94682,1
30/07/2023 06:00,0.94924,1.89903,-0.246709372,4.8788,1
30/07/2023 07:00,0.94614,1.8928,-0.166758169,4.81079,1
