Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.64024,1.28064,-0.133874526,1.55704,0
28/07/2023 01:00,0.64008,1.28033,-0.169592105,1.60241,0
28/07/2023 02:00,0.63993,1.28002,-0.167469693,1.64778,0
28/07/2023 03:00,0.63977,1.27971,-0.136664219,1.69314,0
28/07/2023 04:00,0.63962,1.2794,-0.092343849,1.73851,0
28/07/2023 05:00,0.63946,1.27909,-0.052757365,1.78388,0
28/07/2023 06:00,0.63931,1.27878,-0.034591048,1.82925,0
28/07/2023 07:00,0.63915,1.27847,-0.047530046,1.87462,0
28/07/2023 08:00,0.639,1.27816,-0.090319636,1.91998,0
28/07/2023 09:00,0.63884,1.27785,-0.15052419,1.96535,0
28/07/2023 10:00,0.63869,1.27754,-0.208416721,2.01072,0
28/07/2023 11:00,0.63853,1.27723,-0.243255259,2.05609,0
28/07/2023 12:00,0.63838,1.27692,-0.239216763,2.10146,0
28/07/2023 13:00,0.63822,1.2766,-0.189040247,2.14682,0
28/07/2023 14:00,0.63806,1.27629,-0.09511073,2.19219,0
28/07/2023 15:00,0.63791,1.27598,0.031151379,2.23756,0
28/07/2023 16:00,0.63775,1.27567,0.170866362,2.28293,1
28/07/2023 17:00,0.6376,1.27536,0.300356006,2.32829,1
28/07/2023 18:00,0.63744,1.27505,0.395380279,2.37366,1
28/07/2023 19:00,0.63729,1.27474,0.436701308,2.41903,1
28/07/2023 20:00,0.63713,1.27443,0.415413735,2.4644,1
28/07/2023 21:00,0.63698,1.27412,0.335816254,2.50977,1
28/07/2023 22:00,0.63682,1.27381,0.214361559,2.55513,1
28/07/2023 23:00,0.63667,1.2735,0.075025064,2.6005,1
29/07/2023 00:00,0.63651,1.27319,-0.056963564,2.64587,0
29/07/2023 01:00,0.63504,1.27025,-0.160730794,2.62723,0
29/07/2023 02:00,0.63357,1.2673,-0.223344715,2.60859,0
29/07/2023 03:00,0.6321,1.26436,-0.241291534,2.58995,0
29/07/2023 04:00,0.63064,1.26141,-0.220384574,2.57131,0
29/07/2023 05:00,0.62917,1.25847,-0.174379499,2.55267,0
29/07/2023 06:00,0.6277,1.25552,-0.122058008,2.53403,0
29/07/2023 07:00,0.62623,1.25258,-0.082632535,2.51539,0
29/07/2023 08:00,0.62476,1.24963,-0.070221552,2.49675,0
29/07/2023 09:00,0.62329,1.24669,-0.08918286,2.47811,0
29/07/2023 10:00,0.62182,1.24374,-0.132304769,2.45947,0
29/07/2023 11:00,0.62035,1.2408,-0.182835439,2.44083,0
29/07/2023 12:00,0.61888,1.23786,-0.219626823,2.4222,0
29/07/2023 13:00,0.61742,1.23491,-0.223373999,2.40356,0
29/07/2023 14:00,0.61595,1.23197,-0.18181794,2.38492,0
29/07/2023 15:00,0.61448,1.22902,-0.092721897,2.36628,0
29/07/2023 16:00,0.61301,1.22608,0.035428861,2.34764,0
29/07/2023 17:00,0.61154,1.22313,0.184542464,2.329,1
29/07/2023 18:00,0.61007,1.22019,0.329615521,2.31036,1
29/07/2023 19:00,0.6086,1.21724,0.443108026,2.29172,1
29/07/2023 20:00,0.60714,1.2143,0.500825016,2.27308,1
29/07/2023 21:00,0.60567,1.21135,0.488173255,2.25444,1
29/07/2023 22:00,0.6042,1.20841,0.404739342,2.2358,1
29/07/2023 23:00,0.60273,1.20546,0.265180921,2.21716,1
30/07/2023 00:00,0.60126,1.20252,0.095731563,2.19852,1
30/07/2023 01:00,0.5998,1.1996,-0.072498028,2.17694,0
30/07/2023 02:00,0.59834,1.19667,-0.21097824,2.15535,0
30/07/2023 03:00,0.59688,1.19375,-0.299648894,2.13377,0
30/07/2023 04:00,0.59541,1.19083,-0.33011845,2.11219,0
30/07/2023 05:00,0.59395,1.1879,-0.306315294,2.09061,0
30/07/2023 06:00,0.59249,1.18498,-0.243156161,2.06902,0
30/07/2023 07:00,0.59103,1.18206,-0.163414659,2.04744,0
30/07/2023 08:00,0.58957,1.17913,-0.092639026,2.02586,0
30/07/2023 09:00,0.5881,1.17621,-0.05248418,2.00427,0
30/07/2023 10:00,0.58664,1.17329,-0.054073305,1.98269,0
30/07/2023 11:00,0.58518,1.17036,-0.093936649,1.96111,0
30/07/2023 12:00,0.58372,1.16744,-0.154607337,1.93952,0
30/07/2023 13:00,0.58226,1.16452,-0.210020699,1.91794,0
30/07/2023 14:00,0.5808,1.16159,-0.233629414,1.89636,0
30/07/2023 15:00,0.57934,1.15867,-0.206116005,1.87478,0
30/07/2023 16:00,0.57787,1.15575,-0.120352518,1.85319,0
30/07/2023 17:00,0.57641,1.15282,0.016980973,1.83161,0
30/07/2023 18:00,0.57495,1.1499,0.186420021,1.81003,1
30/07/2023 19:00,0.57349,1.14698,0.358677645,1.78844,1
30/07/2023 20:00,0.57203,1.14405,0.499571593,1.76686,1
30/07/2023 21:00,0.57056,1.14113,0.577109588,1.74528,1
30/07/2023 22:00,0.5691,1.13821,0.569821044,1.7237,1
30/07/2023 23:00,0.56764,1.13528,0.4737718,1.70211,1
31/07/2023 00:00,0.56618,1.13236,0.305100429,1.68053,1
31/07/2023 01:00,0.56725,1.1345,0.096368967,1.65938,1
31/07/2023 02:00,0.56833,1.13664,-0.112137971,1.63824,0
31/07/2023 03:00,0.5694,1.13878,-0.282723225,1.61709,0
31/07/2023 04:00,0.57047,1.14092,-0.388559196,1.59594,0
31/07/2023 05:00,0.57155,1.14306,-0.418110572,1.5748,0
31/07/2023 06:00,0.57262,1.1452,-0.376003489,1.55365,0
31/07/2023 07:00,0.57369,1.14734,-0.281432444,1.53251,0
31/07/2023 08:00,0.57477,1.14948,-0.164457704,1.51136,0
31/07/2023 09:00,0.57584,1.15162,-0.059695344,1.49021,0
31/07/2023 10:00,0.57691,1.15376,0.002536904,1.46907,0
31/07/2023 11:00,0.57799,1.1559,0.005575372,1.44792,0
31/07/2023 12:00,0.57906,1.15803,-0.047471118,1.42678,0
31/07/2023 13:00,0.58013,1.16017,-0.134100602,1.40563,0
31/07/2023 14:00,0.58121,1.16231,-0.21967603,1.38448,0
31/07/2023 15:00,0.58228,1.16445,-0.268522127,1.36334,0
31/07/2023 16:00,0.58335,1.16659,-0.254301948,1.34219,0
31/07/2023 17:00,0.58443,1.16873,-0.166414499,1.32104,0
31/07/2023 18:00,0.5855,1.17087,-0.011895192,1.2999,0
31/07/2023 19:00,0.58657,1.17301,0.185887837,1.27875,1
31/07/2023 20:00,0.58765,1.17515,0.390735965,1.2576,1
31/07/2023 21:00,0.58872,1.17729,0.559655784,1.23646,1
31/07/2023 22:00,0.58979,1.17943,0.63752105317,1.21531,1
31/07/2023 23:00,0.59087,1.18157,0.63752105317,1.19417,1
01/08/2023 00:00,0.59194,1.18371,0.521508169,1.17302,1
01/08/2023 01:00,0.59405,1.18795,0.315928335,1.14825,1
01/08/2023 02:00,0.59616,1.1922,0.066092452,1.12347,1
01/08/2023 03:00,0.59827,1.19644,-0.177293637,1.0987,0
01/08/2023 04:00,0.60039,1.20068,-0.368241039,1.07392,0
01/08/2023 05:00,0.6025,1.20493,-0.47550133,1.04915,0
01/08/2023 06:00,0.60461,1.20917,-0.487375108,1.02437,0
01/08/2023 07:00,0.60672,1.21342,-0.412260216,0.9996,0
01/08/2023 08:00,0.60883,1.21766,-0.276500615,0.97482,0
01/08/2023 09:00,0.61094,1.2219,-0.119669374,0.95005,0
01/08/2023 10:00,0.61305,1.22615,0.013721607,0.92527,0
01/08/2023 11:00,0.61516,1.23039,0.085941695,0.9005,1
01/08/2023 12:00,0.61728,1.23463,0.078071761,0.87572,1
01/08/2023 13:00,0.61939,1.23888,-0.00287372,0.85095,0
01/08/2023 14:00,0.6215,1.24312,-0.125729063,0.82618,0
01/08/2023 15:00,0.62361,1.24737,-0.245575297,0.8014,0
01/08/2023 16:00,0.62572,1.25161,-0.31809412,0.77663,0
01/08/2023 17:00,0.62783,1.25585,-0.31194088,0.75185,0
01/08/2023 18:00,0.62994,1.2601,-0.215614398,0.72708,0
01/08/2023 19:00,0.63205,1.26434,-0.038979798,0.7023,0
01/08/2023 20:00,0.63416,1.26859,0.188598945,0.67753,1
01/08/2023 21:00,0.63628,1.27283,0.422584012,0.65275,1
01/08/2023 22:00,0.63839,1.27707,0.610962414,0.62798,1
01/08/2023 23:00,0.6405,1.28132,0.63752105317,0.6032,1
02/08/2023 00:00,0.64261,1.28556,0.63752105317,0.57843,1
02/08/2023 01:00,0.64275,1.28583,0.527905097,0.61488,1
02/08/2023 02:00,0.64289,1.2861,0.284573764,0.65133,1
02/08/2023 03:00,0.64303,1.28636,0.001353161,0.68778,0
02/08/2023 04:00,0.64318,1.28663,-0.261972833,0.72422,0
02/08/2023 05:00,0.64332,1.2869,-0.454261147,0.76067,0
02/08/2023 06:00,0.64346,1.28717,-0.5028885873,0.79712,0
02/08/2023 07:00,0.6436,1.28744,-0.5028885873,0.83357,0
02/08/2023 08:00,0.64374,1.28771,-0.403127274,0.87002,0
02/08/2023 09:00,0.64388,1.28798,-0.223552462,0.90646,0
02/08/2023 10:00,0.64402,1.28824,-0.032362504,0.94291,0
02/08/2023 11:00,0.64416,1.28851,0.117506411,0.97936,1
02/08/2023 12:00,0.6443,1.28878,0.184314003,1.01581,1
02/08/2023 13:00,0.64445,1.28905,0.15132535,1.05226,1
02/08/2023 14:00,0.64459,1.28932,0.03331988,1.08871,0
02/08/2023 15:00,0.64473,1.28958,-0.12808744,1.12515,0
02/08/2023 16:00,0.64487,1.28985,-0.278495091,1.1616,0
02/08/2023 17:00,0.64501,1.29012,-0.367656135,1.19805,0
02/08/2023 18:00,0.64515,1.29039,-0.362571127,1.2345,0
02/08/2023 19:00,0.64529,1.29066,-0.253759097,1.27095,0
02/08/2023 20:00,0.64544,1.29093,-0.055915202,1.3074,0
02/08/2023 21:00,0.64558,1.2912,0.194667137,1.34384,1
02/08/2023 22:00,0.64572,1.29146,0.445480172,1.38029,1
02/08/2023 23:00,0.64586,1.29173,0.63752105317,1.41674,1
03/08/2023 00:00,0.646,1.292,0.63752105317,1.45319,1
03/08/2023 01:00,0.65701,1.31403,0.63752105317,1.48175,1
03/08/2023 02:00,0.66802,1.33606,0.481251449,1.51031,1
03/08/2023 03:00,0.67902,1.35809,0.208325048,1.53887,1
03/08/2023 04:00,0.69003,1.38012,-0.091367114,1.56743,0
03/08/2023 05:00,0.70104,1.40215,-0.35273646,1.59599,0
03/08/2023 06:00,0.71205,1.42418,-0.5028885873,1.62456,0
03/08/2023 07:00,0.72306,1.44621,-0.5028885873,1.65312,0
03/08/2023 08:00,0.73406,1.46824,-0.5028885873,1.68168,0
03/08/2023 09:00,0.74507,1.49027,-0.34529674,1.71024,0
03/08/2023 10:00,0.75608,1.5123,-0.127749286,1.7388,0
03/08/2023 11:00,0.76709,1.53433,0.084991068,1.76736,1
03/08/2023 12:00,0.7781,1.55636,0.23515002,1.79592,1
03/08/2023 13:00,0.7891,1.5784,0.281713889,1.82448,1
03/08/2023 14:00,0.80011,1.60043,0.214469644,1.85304,1
03/08/2023 15:00,0.81112,1.62246,0.058206332,1.8816,1
03/08/2023 16:00,0.82213,1.64449,-0.135722627,1.91016,0
03/08/2023 17:00,0.83313,1.66652,-0.306623488,1.93872,0
03/08/2023 18:00,0.84414,1.68855,-0.402543452,1.96729,0
03/08/2023 19:00,0.85515,1.71058,-0.392576789,1.99585,0
03/08/2023 20:00,0.86616,1.73261,-0.27167522,2.02441,0
03/08/2023 21:00,0.87717,1.75464,-0.060242081,2.05297,0
03/08/2023 22:00,0.88817,1.77667,0.19915477,2.08153,1
03/08/2023 23:00,0.89918,1.7987,0.448340609,2.11009,1
04/08/2023 00:00,0.91019,1.82073,0.625286342,2.13865,1
04/08/2023 01:00,0.90549,1.81131,0.63752105317,2.10726,1
04/08/2023 02:00,0.90078,1.80189,0.594173074,2.07587,1
04/08/2023 03:00,0.89608,1.79247,0.38293174,2.04448,1
04/08/2023 04:00,0.89138,1.78305,0.097054916,2.01309,1
04/08/2023 05:00,0.88668,1.77363,-0.196067994,1.9817,0
04/08/2023 06:00,0.88198,1.76421,-0.431403908,1.95031,0
04/08/2023 07:00,0.87727,1.75479,-0.5028885873,1.91892,0
04/08/2023 08:00,0.87257,1.74537,-0.5028885873,1.88753,0
04/08/2023 09:00,0.86787,1.73595,-0.450463401,1.85614,0
04/08/2023 10:00,0.86316,1.72653,-0.245871366,1.82475,0
04/08/2023 11:00,0.85846,1.71711,-0.004042369,1.79336,0
04/08/2023 12:00,0.85376,1.7077,0.212716128,1.76197,1
