Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.64024,1.28064,-0.133970648,1.55704,0
28/07/2023 01:00,0.64008,1.28033,-0.170637353,1.60241,0
28/07/2023 02:00,0.63993,1.28002,-0.169222331,1.64778,0
28/07/2023 03:00,0.63977,1.27971,-0.138746411,1.69314,0
28/07/2023 04:00,0.63962,1.2794,-0.094356397,1.73851,0
28/07/2023 05:00,0.63946,1.27909,-0.054364042,1.78388,0
28/07/2023 06:00,0.63931,1.27878,-0.035557788,1.82925,0
28/07/2023 07:00,0.63915,1.27847,-0.047742403,1.87462,0
28/07/2023 08:00,0.639,1.27816,-0.089803644,1.91998,0
28/07/2023 09:00,0.63884,1.27785,-0.149464063,1.96535,0
28/07/2023 10:00,0.63869,1.27754,-0.207135154,2.01072,0
28/07/2023 11:00,0.63853,1.27723,-0.242132043,2.05609,0
28/07/2023 12:00,0.63838,1.27692,-0.238565428,2.10146,0
28/07/2023 13:00,0.63822,1.2766,-0.189001433,2.14682,0
28/07/2023 14:00,0.63806,1.27629,-0.095617654,2.19219,0
28/07/2023 15:00,0.63791,1.27598,0.030325411,2.23756,0
28/07/2023 16:00,0.63775,1.27567,0.170017972,2.28293,1
28/07/2023 17:00,0.6376,1.27536,0.29977178,2.32829,1
28/07/2023 18:00,0.63744,1.27505,0.39528996,2.37366,1
28/07/2023 19:00,0.63729,1.27474,0.437248679,2.41903,1
28/07/2023 20:00,0.63713,1.27443,0.416620687,2.4644,1
28/07/2023 21:00,0.63698,1.27412,0.337542794,2.50977,1
28/07/2023 22:00,0.63682,1.27381,0.216297065,2.55513,1
28/07/2023 23:00,0.63667,1.2735,0.076745894,2.6005,1
29/07/2023 00:00,0.63651,1.27319,-0.055874581,2.64587,0
29/07/2023 01:00,0.63504,1.27025,-0.160554024,2.62723,0
29/07/2023 02:00,0.63357,1.2673,-0.22414552,2.60859,0
29/07/2023 03:00,0.6321,1.26436,-0.242923111,2.58995,0
29/07/2023 04:00,0.63064,1.26141,-0.222550047,2.57131,0
29/07/2023 05:00,0.62917,1.25847,-0.176706903,2.55267,0
29/07/2023 06:00,0.6277,1.25552,-0.124159353,2.53403,0
29/07/2023 07:00,0.62623,1.25258,-0.084153837,2.51539,0
29/07/2023 08:00,0.62476,1.24963,-0.070905182,2.49675,0
29/07/2023 09:00,0.62329,1.24669,-0.088941529,2.47811,0
29/07/2023 10:00,0.62182,1.24374,-0.131271346,2.45947,0
29/07/2023 11:00,0.62035,1.2408,-0.181343922,2.44083,0
29/07/2023 12:00,0.61888,1.23786,-0.21811302,2.4222,0
29/07/2023 13:00,0.61742,1.23491,-0.222235473,2.40356,0
29/07/2023 14:00,0.61595,1.23197,-0.181298713,2.38492,0
29/07/2023 15:00,0.61448,1.22902,-0.092866834,2.36628,0
29/07/2023 16:00,0.61301,1.22608,0.034752684,2.34764,0
29/07/2023 17:00,0.61154,1.22313,0.183593305,2.329,1
29/07/2023 18:00,0.61007,1.22019,0.328723544,2.31036,1
29/07/2023 19:00,0.6086,1.21724,0.442620743,2.29172,1
29/07/2023 20:00,0.60714,1.2143,0.501033633,2.27308,1
29/07/2023 21:00,0.60567,1.21135,0.48921874,2.25444,1
29/07/2023 22:00,0.6042,1.20841,0.40653291,2.2358,1
29/07/2023 23:00,0.60273,1.20546,0.267390531,2.21716,1
30/07/2023 00:00,0.60126,1.20252,0.097860544,2.19852,1
30/07/2023 01:00,0.5998,1.1996,-0.070966365,2.17694,0
30/07/2023 02:00,0.59834,1.19667,-0.210433859,2.15535,0
30/07/2023 03:00,0.59688,1.19375,-0.300263614,2.13377,0
30/07/2023 04:00,0.59541,1.19083,-0.331825931,2.11219,0
30/07/2023 05:00,0.59395,1.1879,-0.308839834,2.09061,0
30/07/2023 06:00,0.59249,1.18498,-0.246062292,2.06902,0
30/07/2023 07:00,0.59103,1.18206,-0.166172475,2.04744,0
30/07/2023 08:00,0.58957,1.17913,-0.094718871,2.02586,0
30/07/2023 09:00,0.5881,1.17621,-0.053482126,2.00427,0
30/07/2023 10:00,0.58664,1.17329,-0.053833356,1.98269,0
30/07/2023 11:00,0.58518,1.17036,-0.092611941,1.96111,0
30/07/2023 12:00,0.58372,1.16744,-0.152619652,1.93952,0
30/07/2023 13:00,0.58226,1.16452,-0.207928726,1.91794,0
30/07/2023 14:00,0.5808,1.16159,-0.231963358,1.89636,0
30/07/2023 15:00,0.57934,1.15867,-0.205244235,1.87478,0
30/07/2023 16:00,0.57787,1.15575,-0.120413667,1.85319,0
30/07/2023 17:00,0.57641,1.15282,0.016087566,1.83161,0
30/07/2023 18:00,0.57495,1.1499,0.185007437,1.81003,1
30/07/2023 19:00,0.57349,1.14698,0.357215034,1.78844,1
30/07/2023 20:00,0.57203,1.14405,0.498587632,1.76686,1
30/07/2023 21:00,0.57056,1.14113,0.577053428,1.74528,1
30/07/2023 22:00,0.5691,1.13821,0.570912878,1.7237,1
