Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.76702,1.53402,-0.145440756,5.86959,0
28/07/2023 01:00,0.76774,1.53545,-0.198034063,5.88147,0
28/07/2023 02:00,0.76846,1.53688,-0.205274006,5.89334,0
28/07/2023 03:00,0.76918,1.53831,-0.174893467,5.90522,0
28/07/2023 04:00,0.7699,1.53974,-0.123206247,5.9171,0
28/07/2023 05:00,0.77061,1.54118,-0.071317639,5.92898,0
28/07/2023 06:00,0.77133,1.54261,-0.039273645,5.94085,0
28/07/2023 07:00,0.77205,1.54404,-0.03980817,5.95273,0
28/07/2023 08:00,0.77277,1.54547,-0.074153523,5.96461,0
28/07/2023 09:00,0.77349,1.5469,-0.131696971,5.97648,0
28/07/2023 10:00,0.77421,1.54833,-0.193476015,5.98836,0
28/07/2023 11:00,0.77493,1.54976,-0.237854331,6.00024,0
28/07/2023 12:00,0.77564,1.5512,-0.24623956,6.01212,0
28/07/2023 13:00,0.77636,1.55263,-0.207404429,6.02399,0
28/07/2023 14:00,0.77708,1.55406,-0.1199971,6.03587,0
28/07/2023 15:00,0.7778,1.55549,0.006679985,6.04775,0
28/07/2023 16:00,0.77852,1.55692,0.153696578,6.05962,1
28/07/2023 17:00,0.77924,1.55835,0.295610313,6.0715,1
28/07/2023 18:00,0.77996,1.55978,0.405610335,6.08338,1
28/07/2023 19:00,0.78068,1.56121,0.461729631,6.09525,1
28/07/2023 20:00,0.7814,1.56264,0.452345876,6.10713,1
28/07/2023 21:00,0.78211,1.56408,0.379136423,6.11901,1
28/07/2023 22:00,0.78283,1.56551,0.256519072,6.13089,1
28/07/2023 23:00,0.78355,1.56694,0.107906126,6.14276,1
29/07/2023 00:00,0.78427,1.56837,-0.03989564,6.15464,0
29/07/2023 01:00,0.78125,1.56233,-0.16251326,6.09881,0
29/07/2023 02:00,0.77822,1.55629,-0.242766619,6.04299,0
29/07/2023 03:00,0.7752,1.55025,-0.273611212,5.98716,0
29/07/2023 04:00,0.77218,1.54422,-0.258949252,5.93134,0
29/07/2023 05:00,0.76915,1.53818,-0.212241677,5.87551,0
29/07/2023 06:00,0.76613,1.53214,-0.153073989,5.81968,0
29/07/2023 07:00,0.76311,1.5261,-0.10218706,5.76386,0
29/07/2023 08:00,0.76008,1.52006,-0.075973297,5.70803,0
29/07/2023 09:00,0.75706,1.51402,-0.081847515,5.6522,0
29/07/2023 10:00,0.75404,1.50798,-0.11593144,5.59638,0
29/07/2023 11:00,0.75101,1.50194,-0.163952192,5.54055,0
29/07/2023 12:00,0.74799,1.4959,-0.205241939,5.48472,0
29/07/2023 13:00,0.74497,1.48987,-0.21864088,5.4289,0
29/07/2023 14:00,0.74194,1.48383,-0.188473474,5.37307,0
29/07/2023 15:00,0.73892,1.47779,-0.10890459,5.31725,0
29/07/2023 16:00,0.7359,1.47175,0.014247886,5.26142,0
29/07/2023 17:00,0.73287,1.46571,0.164279843,5.20559,1
