Time(UTC/GMT),Hsig(m),Hmax(m),elev_m,WindSpeed(knots),Cluster
28/07/2023 00:00,0.01941,0.03881,-0.141402983,0.36935,0
28/07/2023 01:00,0.01925,0.0385,-0.198802741,0.36579,0
28/07/2023 02:00,0.0191,0.03818,-0.209783647,0.36222,0
28/07/2023 03:00,0.01894,0.03787,-0.180690029,0.35866,0
28/07/2023 04:00,0.01878,0.03756,-0.126942724,0.3551,0
28/07/2023 05:00,0.01862,0.03724,-0.069871685,0.35153,0
28/07/2023 06:00,0.01847,0.03693,-0.031002317,0.34797,0
28/07/2023 07:00,0.01831,0.03662,-0.025266466,0.34441,0
28/07/2023 08:00,0.01815,0.0363,-0.055917698,0.34084,0
28/07/2023 09:00,0.018,0.03599,-0.11348516,0.33728,0
28/07/2023 10:00,0.01784,0.03568,-0.179101707,0.33372,0
28/07/2023 11:00,0.01768,0.03536,-0.230454777,0.33015,0
28/07/2023 12:00,0.01752,0.03505,-0.247854577,0.32659,0
28/07/2023 13:00,0.01737,0.03474,-0.218709717,0.32303,0
28/07/2023 14:00,0.01721,0.03442,-0.140044415,0.31946,0
28/07/2023 15:00,0.01705,0.03411,-0.019399622,0.3159,0
28/07/2023 16:00,0.0169,0.0338,0.125783858,0.31234,1
28/07/2023 17:00,0.01674,0.03348,0.270711171,0.30877,1
28/07/2023 18:00,0.01658,0.03317,0.387995241,0.30521,1
28/07/2023 19:00,0.01643,0.03286,0.453962203,0.30165,1
28/07/2023 20:00,0.01627,0.03254,0.454712352,0.29808,1
28/07/2023 21:00,0.01611,0.03223,0.389808207,0.29452,1
28/07/2023 22:00,0.01595,0.03192,0.272265393,0.29096,1
28/07/2023 23:00,0.0158,0.0316,0.124996043,0.28739,1
29/07/2023 00:00,0.01564,0.03129,-0.024892849,0.28383,0
29/07/2023 01:00,0.01556,0.03114,-0.152127916,0.28192,0
29/07/2023 02:00,0.01548,0.03098,-0.238198943,0.28002,0
29/07/2023 03:00,0.0154,0.03083,-0.27446564,0.27811,0
29/07/2023 04:00,0.01533,0.03068,-0.26323394,0.27621,0
29/07/2023 05:00,0.01525,0.03052,-0.216780075,0.2743,0
29/07/2023 06:00,0.01517,0.03037,-0.154365528,0.2724,0
29/07/2023 07:00,0.01509,0.03022,-0.097527504,0.27049,0
29/07/2023 08:00,0.01501,0.03006,-0.064448886,0.26858,0
29/07/2023 09:00,0.01494,0.02991,-0.064798994,0.26668,0
29/07/2023 10:00,0.01486,0.02976,-0.096685141,0.26477,0
29/07/2023 11:00,0.01478,0.0296,-0.146930857,0.26287,0
29/07/2023 12:00,0.0147,0.02945,-0.194812167,0.26096,0
29/07/2023 13:00,0.01462,0.0293,-0.218088138,0.25905,0
