datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,0.123514,0.115911,0,0,Normal,Normal
2023-07-30 01:00:00,-0.045844,-0.058772,0,0,Normal,Normal
2023-07-30 02:00:00,-0.194909,-0.231829,0,0,Normal,Normal
2023-07-30 03:00:00,-0.300133,-0.349903,0,0,Normal,Normal
2023-07-30 04:00:00,-0.348516,-0.391807,0,0,Normal,Normal
2023-07-30 05:00:00,-0.338895,-0.374527,0,0,Normal,Normal
2023-07-30 06:00:00,-0.281282,-0.320135,0,0,Normal,Normal
2023-07-30 07:00:00,-0.194904,-0.237766,0,0,Normal,Normal
2023-07-30 08:00:00,-0.104697,-0.13998,0,0,Normal,Normal
2023-07-30 09:00:00,-0.035699,-0.055531,0,0,Normal,Normal
2023-07-30 10:00:00,-0.005972,-0.012567,0,0,Normal,Normal
2023-07-30 11:00:00,-0.020431,-0.021418,0,0,Normal,Normal
2023-07-30 12:00:00,-0.068621,-0.076329,0,0,Normal,Normal
2023-07-30 13:00:00,-0.128027,-0.155436,0,0,Normal,Normal
2023-07-30 14:00:00,-0.171664,-0.219965,0,0,Normal,Normal
2023-07-30 15:00:00,-0.176531,-0.238598,0,0,Normal,Normal
2023-07-30 16:00:00,-0.129659,-0.197106,0,0,Normal,Normal
2023-07-30 17:00:00,-0.030547,-0.097136,0,0,Normal,Normal
2023-07-30 18:00:00,0.109063,0.040648,0,0,Normal,Normal
2023-07-30 19:00:00,0.266727,0.194825,1,0,Banjir Rob,Normal
2023-07-30 20:00:00,0.412104,0.335506,1,1,Banjir Rob,Banjir Rob
2023-07-30 21:00:00,0.512144,0.419849,1,1,Banjir Rob,Banjir Rob
2023-07-30 22:00:00,0.539106,0.441919,1,1,Banjir Rob,Banjir Rob
2023-07-30 23:00:00,0.479461,0.405502,1,1,Banjir Rob,Banjir Rob
2023-07-31 00:00:00,0.33973,0.309149,1,1,Banjir Rob,Banjir Rob
2023-07-31 01:00:00,0.145848,0.151609,0,0,Normal,Normal
2023-07-31 02:00:00,-0.064159,-0.058151,0,0,Normal,Normal
2023-07-31 03:00:00,-0.250811,-0.27564,0,0,Normal,Normal
2023-07-31 04:00:00,-0.382534,-0.429031,0,0,Normal,Normal
2023-07-31 05:00:00,-0.440988,-0.480783,0,0,Normal,Normal
2023-07-31 06:00:00,-0.42272,-0.447437,0,0,Normal,Normal
2023-07-31 07:00:00,-0.338944,-0.35893,0,0,Normal,Normal
2023-07-31 08:00:00,-0.21421,-0.231915,0,0,Normal,Normal
2023-07-31 09:00:00,-0.082661,-0.088975,0,0,Normal,Normal
2023-07-31 10:00:00,0.019664,0.028736,0,0,Normal,Normal
2023-07-31 11:00:00,0.065587,0.080588,0,0,Normal,Normal
2023-07-31 12:00:00,0.046452,0.054321,0,0,Normal,Normal
2023-07-31 13:00:00,-0.024382,-0.027867,0,0,Normal,Normal
2023-07-31 14:00:00,-0.116448,-0.13122,0,0,Normal,Normal
2023-07-31 15:00:00,-0.193039,-0.21854,0,0,Normal,Normal
2023-07-31 16:00:00,-0.222643,-0.257266,0,0,Normal,Normal
2023-07-31 17:00:00,-0.186492,-0.223931,0,0,Normal,Normal
2023-07-31 18:00:00,-0.081389,-0.116835,0,0,Normal,Normal
2023-07-31 19:00:00,0.080208,0.035937,0,0,Normal,Normal
2023-07-31 20:00:00,0.271134,0.216237,1,0,Banjir Rob,Normal
2023-07-31 21:00:00,0.452346,0.397777,1,1,Banjir Rob,Banjir Rob
2023-07-31 22:00:00,0.579916,0.513356,1,1,Banjir Rob,Banjir Rob
2023-07-31 23:00:00,0.616689,0.542857,1,1,Banjir Rob,Banjir Rob
2023-08-01 00:00:00,0.545,0.492163,1,1,Banjir Rob,Banjir Rob
2023-08-01 01:00:00,0.374294,0.356364,1,1,Banjir Rob,Banjir Rob
