datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,0.141152,0.125896,0,0,Normal,Normal
2023-07-30 01:00:00,-0.041097,-0.062626,0,0,Normal,Normal
2023-07-30 02:00:00,-0.199581,-0.22487,0,0,Normal,Normal
2023-07-30 03:00:00,-0.309921,-0.328176,0,0,Normal,Normal
2023-07-30 04:00:00,-0.359579,-0.366859,0,0,Normal,Normal
2023-07-30 05:00:00,-0.349148,-0.350625,0,0,Normal,Normal
2023-07-30 06:00:00,-0.291164,-0.290596,0,0,Normal,Normal
2023-07-30 07:00:00,-0.207208,-0.200245,0,0,Normal,Normal
2023-07-30 08:00:00,-0.123422,-0.101352,0,0,Normal,Normal
2023-07-30 09:00:00,-0.064386,-0.02414,0,0,Normal,Normal
2023-07-30 10:00:00,-0.046194,0.005576,0,0,Normal,Normal
2023-07-30 11:00:00,-0.070938,-0.019499,0,0,Normal,Normal
2023-07-30 12:00:00,-0.125279,-0.084968,0,0,Normal,Normal
2023-07-30 13:00:00,-0.184377,-0.160916,0,0,Normal,Normal
2023-07-30 14:00:00,-0.219882,-0.213339,0,0,Normal,Normal
2023-07-30 15:00:00,-0.208709,-0.214725,0,0,Normal,Normal
2023-07-30 16:00:00,-0.139341,-0.151572,0,0,Normal,Normal
2023-07-30 17:00:00,-0.014327,-0.028995,0,0,Normal,Normal
2023-07-30 18:00:00,0.150347,0.133262,0,0,Normal,Normal
2023-07-30 19:00:00,0.327765,0.307679,1,1,Banjir Rob,Banjir Rob
2023-07-30 20:00:00,0.484122,0.458649,1,1,Banjir Rob,Banjir Rob
2023-07-30 21:00:00,0.584906,0.555522,1,1,Banjir Rob,Banjir Rob
2023-07-30 22:00:00,0.603207,0.576546,1,1,Banjir Rob,Banjir Rob
2023-07-30 23:00:00,0.528156,0.508005,1,1,Banjir Rob,Banjir Rob
2023-07-31 00:00:00,0.369846,0.353444,1,1,Banjir Rob,Banjir Rob
2023-07-31 01:00:00,0.157802,0.137833,0,0,Normal,Normal
2023-07-31 02:00:00,-0.066984,-0.096962,0,0,Normal,Normal
2023-07-31 03:00:00,-0.2631,-0.295794,0,0,Normal,Normal
2023-07-31 04:00:00,-0.398399,-0.418078,0,0,Normal,Normal
2023-07-31 05:00:00,-0.455578,-0.460994,0,0,Normal,Normal
2023-07-31 06:00:00,-0.433724,-0.435748,0,0,Normal,Normal
2023-07-31 07:00:00,-0.34744,-0.349763,0,0,Normal,Normal
2023-07-31 08:00:00,-0.224324,-0.220124,0,0,Normal,Normal
2023-07-31 09:00:00,-0.100015,-0.081275,0,0,Normal,Normal
2023-07-31 10:00:00,-0.009817,0.023389,0,0,Normal,Normal
2023-07-31 11:00:00,0.021827,0.060482,0,0,Normal,Normal
2023-07-31 12:00:00,-0.009944,0.022725,0,0,Normal,Normal
2023-07-31 13:00:00,-0.088049,-0.066913,0,0,Normal,Normal
2023-07-31 14:00:00,-0.17924,-0.167346,0,0,Normal,Normal
2023-07-31 15:00:00,-0.245448,-0.239539,0,0,Normal,Normal
2023-07-31 16:00:00,-0.255453,-0.255795,0,0,Normal,Normal
2023-07-31 17:00:00,-0.192609,-0.197286,0,0,Normal,Normal
2023-07-31 18:00:00,-0.057631,-0.063371,0,0,Normal,Normal
2023-07-31 19:00:00,0.131851,0.124601,0,0,Normal,Normal
2023-07-31 20:00:00,0.343423,0.333604,1,1,Banjir Rob,Banjir Rob
2023-07-31 21:00:00,0.534228,0.51696,1,1,Banjir Rob,Banjir Rob
2023-07-31 22:00:00,0.659139,0.637976,1,1,Banjir Rob,Banjir Rob
2023-07-31 23:00:00,0.681076,0.670407,1,1,Banjir Rob,Banjir Rob
2023-08-01 00:00:00,0.590958,0.585743,1,1,Banjir Rob,Banjir Rob
2023-08-01 01:00:00,0.398057,0.382934,1,1,Banjir Rob,Banjir Rob
2023-08-01 02:00:00,0.142819,0.113429,0,0,Normal,Normal
2023-08-01 03:00:00,-0.122626,-0.166289,0,0,Normal,Normal
2023-08-01 04:00:00,-0.347312,-0.390991,0,0,Normal,Normal
2023-08-01 05:00:00,-0.492953,-0.519287,0,0,Normal,Normal
2023-08-01 06:00:00,-0.539912,-0.5536,0,0,Normal,Normal
2023-08-01 07:00:00,-0.488789,-0.503015,0,0,Normal,Normal
2023-08-01 08:00:00,-0.359818,-0.370738,0,0,Normal,Normal
2023-08-01 09:00:00,-0.190196,-0.187168,0,0,Normal,Normal
2023-08-01 10:00:00,-0.027364,-0.008582,0,0,Normal,Normal
2023-08-01 11:00:00,0.082921,0.109029,0,0,Normal,Normal
2023-08-01 12:00:00,0.11104,0.131629,0,0,Normal,Normal
2023-08-01 13:00:00,0.054267,0.05999,0,0,Normal,Normal
2023-08-01 14:00:00,-0.061977,-0.066587,0,0,Normal,Normal
2023-08-01 15:00:00,-0.193397,-0.195383,0,0,Normal,Normal
2023-08-01 16:00:00,-0.291902,-0.288724,0,0,Normal,Normal
2023-08-01 17:00:00,-0.319481,-0.321346,0,0,Normal,Normal
2023-08-01 18:00:00,-0.256429,-0.26418,0,0,Normal,Normal
2023-08-01 19:00:00,-0.104028,-0.110109,0,0,Normal,Normal
2023-08-01 20:00:00,0.115733,0.108616,0,0,Normal,Normal
2023-08-01 21:00:00,0.362247,0.346379,1,1,Banjir Rob,Banjir Rob
2023-08-01 22:00:00,0.58193,0.552978,1,1,Banjir Rob,Banjir Rob
2023-08-01 23:00:00,0.681076,0.690213,1,1,Banjir Rob,Banjir Rob
2023-08-02 00:00:00,0.681076,0.720793,1,1,Banjir Rob,Banjir Rob
2023-08-02 01:00:00,0.614563,0.606912,1,1,Banjir Rob,Banjir Rob
2023-08-02 02:00:00,0.38224,0.359106,1,1,Banjir Rob,Banjir Rob
2023-08-02 03:00:00,0.08791,0.050526,0,0,Normal,Normal
2023-08-02 04:00:00,-0.20573,-0.247893,0,0,Normal,Normal
2023-08-02 05:00:00,-0.440734,-0.473827,0,0,Normal,Normal
2023-08-02 06:00:00,-0.55882,-0.59452,0,0,Normal,Normal
2023-08-02 07:00:00,-0.55882,-0.608801,0,0,Normal,Normal
2023-08-02 08:00:00,-0.49773,-0.514212,0,0,Normal,Normal
2023-08-02 09:00:00,-0.318535,-0.323263,0,0,Normal,Normal
2023-08-02 10:00:00,-0.104365,-0.093007,0,0,Normal,Normal
2023-08-02 11:00:00,0.085908,0.104763,0,0,Normal,Normal
2023-08-02 12:00:00,0.199272,0.215343,0,0,Normal,Normal
2023-08-02 13:00:00,0.206058,0.209141,0,0,Normal,Normal
2023-08-02 14:00:00,0.110699,0.094681,0,0,Normal,Normal
2023-08-02 15:00:00,-0.050126,-0.072057,0,0,Normal,Normal
2023-08-02 16:00:00,-0.221033,-0.229956,0,0,Normal,Normal
2023-08-02 17:00:00,-0.346068,-0.345606,0,0,Normal,Normal
2023-08-02 18:00:00,-0.38347,-0.391281,0,0,Normal,Normal
2023-08-02 19:00:00,-0.313425,-0.326592,0,0,Normal,Normal
2023-08-02 20:00:00,-0.140372,-0.144151,0,0,Normal,Normal
2023-08-02 21:00:00,0.107212,0.105679,0,0,Normal,Normal
2023-08-02 22:00:00,0.379428,0.358155,1,1,Banjir Rob,Banjir Rob
2023-08-02 23:00:00,0.612883,0.569997,1,1,Banjir Rob,Banjir Rob
2023-08-03 00:00:00,0.681076,0.706897,1,1,Banjir Rob,Banjir Rob
2023-08-03 01:00:00,0.681076,0.717461,1,1,Banjir Rob,Banjir Rob
2023-08-03 02:00:00,0.582693,0.563782,1,1,Banjir Rob,Banjir Rob
2023-08-03 03:00:00,0.315096,0.275575,1,0,Banjir Rob,Normal
2023-08-03 04:00:00,-0.003964,-0.052407,0,0,Normal,Normal
2023-08-03 05:00:00,-0.304496,-0.341415,0,0,Normal,Normal
2023-08-03 06:00:00,-0.526043,-0.543266,0,0,Normal,Normal
2023-08-03 07:00:00,-0.55882,-0.639431,0,0,Normal,Normal
2023-08-03 08:00:00,-0.55882,-0.616768,0,0,Normal,Normal
2023-08-03 09:00:00,-0.452337,-0.464279,0,0,Normal,Normal
2023-08-03 10:00:00,-0.224974,-0.21821,0,0,Normal,Normal
2023-08-03 11:00:00,0.022176,0.040325,0,0,Normal,Normal
2023-08-03 12:00:00,0.222041,0.239621,0,0,Normal,Normal
2023-08-03 13:00:00,0.31974,0.332335,1,1,Banjir Rob,Banjir Rob
2023-08-03 14:00:00,0.291203,0.289391,0,0,Normal,Normal
2023-08-03 15:00:00,0.151638,0.126932,0,0,Normal,Normal
2023-08-03 16:00:00,-0.050725,-0.082247,0,0,Normal,Normal
2023-08-03 17:00:00,-0.252075,-0.271743,0,0,Normal,Normal
2023-08-03 18:00:00,-0.392665,-0.408852,0,0,Normal,Normal
2023-08-03 19:00:00,-0.430893,-0.459561,0,0,Normal,Normal
2023-08-03 20:00:00,-0.349859,-0.380812,0,0,Normal,Normal
2023-08-03 21:00:00,-0.159172,-0.170824,0,0,Normal,Normal
2023-08-03 22:00:00,0.105408,0.106436,0,0,Normal,Normal
2023-08-03 23:00:00,0.385769,0.367508,1,1,Banjir Rob,Banjir Rob
2023-08-04 00:00:00,0.612245,0.573073,1,1,Banjir Rob,Banjir Rob
2023-08-04 01:00:00,0.681076,0.69221,1,1,Banjir Rob,Banjir Rob
2023-08-04 02:00:00,0.680326,0.67097,1,1,Banjir Rob,Banjir Rob
2023-08-04 03:00:00,0.492438,0.479634,1,1,Banjir Rob,Banjir Rob
2023-08-04 04:00:00,0.203339,0.164153,0,0,Normal,Normal
2023-08-04 05:00:00,-0.118065,-0.166645,0,0,Normal,Normal
2023-08-04 06:00:00,-0.399766,-0.432732,0,0,Normal,Normal
2023-08-04 07:00:00,-0.55882,-0.59936,0,0,Normal,Normal
2023-08-04 08:00:00,-0.55882,-0.651969,0,0,Normal,Normal
2023-08-04 09:00:00,-0.553919,-0.572053,0,0,Normal,Normal
2023-08-04 10:00:00,-0.355932,-0.357572,0,0,Normal,Normal
2023-08-04 11:00:00,-0.092589,-0.069348,0,0,Normal,Normal
2023-08-04 12:00:00,0.168451,0.201648,0,0,Normal,Normal
2023-08-04 13:00:00,0.357373,0.391022,1,1,Banjir Rob,Banjir Rob
2023-08-04 14:00:00,0.42364,0.457348,1,1,Banjir Rob,Banjir Rob
2023-08-04 15:00:00,0.353334,0.372299,1,1,Banjir Rob,Banjir Rob
2023-08-04 16:00:00,0.173519,0.162757,0,0,Normal,Normal
2023-08-04 17:00:00,-0.058592,-0.086243,0,0,Normal,Normal
2023-08-04 18:00:00,-0.275505,-0.30603,0,0,Normal,Normal
2023-08-04 19:00:00,-0.418615,-0.459853,0,0,Normal,Normal
2023-08-04 20:00:00,-0.450289,-0.510998,0,0,Normal,Normal
2023-08-04 21:00:00,-0.358842,-0.422824,0,0,Normal,Normal
2023-08-04 22:00:00,-0.159862,-0.2023,0,0,Normal,Normal
2023-08-04 23:00:00,0.104576,0.078584,0,0,Normal,Normal
2023-08-05 00:00:00,0.371396,0.337234,1,1,Banjir Rob,Banjir Rob
2023-08-05 01:00:00,0.570086,0.532547,1,1,Banjir Rob,Banjir Rob
2023-08-05 02:00:00,0.643183,0.631328,1,1,Banjir Rob,Banjir Rob
2023-08-05 03:00:00,0.566045,0.581006,1,1,Banjir Rob,Banjir Rob
2023-08-05 04:00:00,0.356099,0.359925,1,1,Banjir Rob,Banjir Rob
2023-08-05 05:00:00,0.066601,0.043687,0,0,Normal,Normal
2023-08-05 06:00:00,-0.231495,-0.256673,0,0,Normal,Normal
2023-08-05 07:00:00,-0.470194,-0.483052,0,0,Normal,Normal
2023-08-05 08:00:00,-0.55882,-0.609243,0,0,Normal,Normal
2023-08-05 09:00:00,-0.55882,-0.611326,0,0,Normal,Normal
2023-08-05 10:00:00,-0.459074,-0.469966,0,0,Normal,Normal
2023-08-05 11:00:00,-0.223636,-0.207465,0,0,Normal,Normal
2023-08-05 12:00:00,0.05554,0.091334,0,0,Normal,Normal
2023-08-05 13:00:00,0.308075,0.341508,1,1,Banjir Rob,Banjir Rob
2023-08-05 14:00:00,0.467812,0.494915,1,1,Banjir Rob,Banjir Rob
2023-08-05 15:00:00,0.493916,0.516243,1,1,Banjir Rob,Banjir Rob
2023-08-05 16:00:00,0.384774,0.3899,1,1,Banjir Rob,Banjir Rob
2023-08-05 17:00:00,0.177424,0.160754,0,0,Normal,Normal
2023-08-05 18:00:00,-0.066774,-0.091416,0,0,Normal,Normal
2023-08-05 19:00:00,-0.282292,-0.310306,0,0,Normal,Normal
2023-08-05 20:00:00,-0.41627,-0.457519,0,0,Normal,Normal
2023-08-05 21:00:00,-0.437815,-0.493774,0,0,Normal,Normal
2023-08-05 22:00:00,-0.341455,-0.395177,0,0,Normal,Normal
2023-08-05 23:00:00,-0.148045,-0.184887,0,0,Normal,Normal
2023-08-06 00:00:00,0.096724,0.067937,0,0,Normal,Normal
2023-08-06 01:00:00,0.329602,0.298394,1,1,Banjir Rob,Banjir Rob
2023-08-06 02:00:00,0.485246,0.462528,1,1,Banjir Rob,Banjir Rob
2023-08-06 03:00:00,0.51665,0.514649,1,1,Banjir Rob,Banjir Rob
2023-08-06 04:00:00,0.411819,0.411217,1,1,Banjir Rob,Banjir Rob
2023-08-06 05:00:00,0.198093,0.170914,0,0,Normal,Normal
2023-08-06 06:00:00,-0.068061,-0.110819,0,0,Normal,Normal
2023-08-06 07:00:00,-0.319929,-0.350445,0,0,Normal,Normal
2023-08-06 08:00:00,-0.498824,-0.512245,0,0,Normal,Normal
2023-08-06 09:00:00,-0.55882,-0.574954,0,0,Normal,Normal
2023-08-06 10:00:00,-0.506026,-0.51743,0,0,Normal,Normal
2023-08-06 11:00:00,-0.331418,-0.328785,0,0,Normal,Normal
2023-08-06 12:00:00,-0.079184,-0.053748,0,0,Normal,Normal
2023-08-06 13:00:00,0.192335,0.221251,0,0,Normal,Normal
2023-08-06 14:00:00,0.416096,0.432855,1,1,Banjir Rob,Banjir Rob
2023-08-06 15:00:00,0.535277,0.544611,1,1,Banjir Rob,Banjir Rob
2023-08-06 16:00:00,0.521816,0.52669,1,1,Banjir Rob,Banjir Rob
2023-08-06 17:00:00,0.385497,0.38016,1,1,Banjir Rob,Banjir Rob
2023-08-06 18:00:00,0.168948,0.15393,0,0,Normal,Normal
2023-08-06 19:00:00,-0.068194,-0.087136,0,0,Normal,Normal
2023-08-06 20:00:00,-0.26751,-0.294291,0,0,Normal,Normal
2023-08-06 21:00:00,-0.385051,-0.426612,0,0,Normal,Normal
2023-08-06 22:00:00,-0.397779,-0.444992,0,0,Normal,Normal
2023-08-06 23:00:00,-0.305863,-0.339404,0,0,Normal,Normal
2023-08-07 00:00:00,-0.133264,-0.150246,0,0,Normal,Normal
2023-08-07 01:00:00,0.0746,0.059959,0,0,Normal,Normal
2023-08-07 02:00:00,0.259521,0.242399,0,0,Normal,Normal
2023-08-07 03:00:00,0.366383,0.355465,1,1,Banjir Rob,Banjir Rob
2023-08-07 04:00:00,0.361428,0.358241,1,1,Banjir Rob,Banjir Rob
2023-08-07 05:00:00,0.244363,0.23408,0,0,Normal,Normal
2023-08-07 06:00:00,0.047964,0.023531,0,0,Normal,Normal
2023-08-07 07:00:00,-0.174217,-0.201233,0,0,Normal,Normal
2023-08-07 08:00:00,-0.365153,-0.384368,0,0,Normal,Normal
2023-08-07 09:00:00,-0.478763,-0.488975,0,0,Normal,Normal
2023-08-07 10:00:00,-0.487868,-0.496787,0,0,Normal,Normal
2023-08-07 11:00:00,-0.387203,-0.398429,0,0,Normal,Normal
2023-08-07 12:00:00,-0.194365,-0.198674,0,0,Normal,Normal
2023-08-07 13:00:00,0.051208,0.053336,0,0,Normal,Normal
2023-08-07 14:00:00,0.294153,0.290932,1,0,Banjir Rob,Normal
2023-08-07 15:00:00,0.47613,0.4673,1,1,Banjir Rob,Banjir Rob
2023-08-07 16:00:00,0.553115,0.544628,1,1,Banjir Rob,Banjir Rob
2023-08-07 17:00:00,0.509748,0.499673,1,1,Banjir Rob,Banjir Rob
2023-08-07 18:00:00,0.363517,0.349381,1,1,Banjir Rob,Banjir Rob
2023-08-07 19:00:00,0.156951,0.143046,0,0,Normal,Normal
2023-08-07 20:00:00,-0.057395,-0.069691,0,0,Normal,Normal
2023-08-07 21:00:00,-0.231561,-0.251643,0,0,Normal,Normal
2023-08-07 22:00:00,-0.331531,-0.36204,0,0,Normal,Normal
2023-08-07 23:00:00,-0.341369,-0.365451,0,0,Normal,Normal
2023-08-08 00:00:00,-0.264898,-0.269805,0,0,Normal,Normal
2023-08-08 01:00:00,-0.126047,-0.123842,0,0,Normal,Normal
2023-08-08 02:00:00,0.034194,0.027257,0,0,Normal,Normal
2023-08-08 03:00:00,0.166957,0.1512,0,0,Normal,Normal
2023-08-08 04:00:00,0.230114,0.214617,0,0,Normal,Normal
2023-08-08 05:00:00,0.202786,0.191562,0,0,Normal,Normal
2023-08-08 06:00:00,0.092592,0.082504,0,0,Normal,Normal
2023-08-08 07:00:00,-0.068022,-0.077728,0,0,Normal,Normal
2023-08-08 08:00:00,-0.233838,-0.238818,0,0,Normal,Normal
2023-08-08 09:00:00,-0.360747,-0.361262,0,0,Normal,Normal
2023-08-08 10:00:00,-0.41582,-0.4176,0,0,Normal,Normal
2023-08-08 11:00:00,-0.382253,-0.391396,0,0,Normal,Normal
2023-08-08 12:00:00,-0.261258,-0.278506,0,0,Normal,Normal
2023-08-08 13:00:00,-0.072759,-0.092057,0,0,Normal,Normal
2023-08-08 14:00:00,0.14615,0.126473,0,0,Normal,Normal
2023-08-08 15:00:00,0.347668,0.32961,1,1,Banjir Rob,Banjir Rob
2023-08-08 16:00:00,0.485387,0.473743,1,1,Banjir Rob,Banjir Rob
2023-08-08 17:00:00,0.528388,0.519979,1,1,Banjir Rob,Banjir Rob
2023-08-08 18:00:00,0.470894,0.45696,1,1,Banjir Rob,Banjir Rob
2023-08-08 19:00:00,0.332727,0.312693,1,1,Banjir Rob,Banjir Rob
2023-08-08 20:00:00,0.150938,0.131959,0,0,Normal,Normal
2023-08-08 21:00:00,-0.032399,-0.049017,0,0,Normal,Normal
2023-08-08 22:00:00,-0.180546,-0.201992,0,0,Normal,Normal
2023-08-08 23:00:00,-0.268138,-0.291298,0,0,Normal,Normal
2023-08-09 00:00:00,-0.283995,-0.293645,0,0,Normal,Normal
2023-08-09 01:00:00,-0.232701,-0.225572,0,0,Normal,Normal
2023-08-09 02:00:00,-0.134853,-0.126368,0,0,Normal,Normal
2023-08-09 03:00:00,-0.023697,-0.025596,0,0,Normal,Normal
2023-08-09 04:00:00,0.063446,0.05501,0,0,Normal,Normal
2023-08-09 05:00:00,0.097137,0.090433,0,0,Normal,Normal
2023-08-09 06:00:00,0.065998,0.063855,0,0,Normal,Normal
2023-08-09 07:00:00,-0.019906,-0.019724,0,0,Normal,Normal
2023-08-09 08:00:00,-0.133853,-0.131773,0,0,Normal,Normal
2023-08-09 09:00:00,-0.24218,-0.236307,0,0,Normal,Normal
2023-08-09 10:00:00,-0.313909,-0.307385,0,0,Normal,Normal
2023-08-09 11:00:00,-0.327066,-0.328383,0,0,Normal,Normal
2023-08-09 12:00:00,-0.271792,-0.285285,0,0,Normal,Normal
2023-08-09 13:00:00,-0.151972,-0.174225,0,0,Normal,Normal
2023-08-09 14:00:00,0.014046,-0.011022,0,0,Normal,Normal
2023-08-09 15:00:00,0.195196,0.171408,0,0,Normal,Normal
