datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,-0.297554,-0.250353,0,0,Normal,Normal
2023-07-30 01:00:00,-0.276385,-0.226785,0,0,Normal,Normal
2023-07-30 02:00:00,-0.243201,-0.199401,0,0,Normal,Normal
2023-07-30 03:00:00,-0.202333,-0.169944,0,0,Normal,Normal
2023-07-30 04:00:00,-0.157412,-0.137678,0,0,Normal,Normal
2023-07-30 05:00:00,-0.10982,-0.100075,0,0,Normal,Normal
2023-07-30 06:00:00,-0.057833,-0.054703,0,0,Normal,Normal
2023-07-30 07:00:00,0.002241,-0.000556,0,0,Normal,Normal
2023-07-30 08:00:00,0.073036,0.061681,0,0,Normal,Normal
2023-07-30 09:00:00,0.152935,0.13496,0,0,Normal,Normal
2023-07-30 10:00:00,0.234847,0.215398,1,1,Banjir Rob,Banjir Rob
2023-07-30 11:00:00,0.307811,0.290514,1,1,Banjir Rob,Banjir Rob
2023-07-30 12:00:00,0.360385,0.349244,1,1,Banjir Rob,Banjir Rob
2023-07-30 13:00:00,0.383759,0.38162,1,1,Banjir Rob,Banjir Rob
2023-07-30 14:00:00,0.373172,0.380288,1,1,Banjir Rob,Banjir Rob
2023-07-30 15:00:00,0.32785,0.341693,1,1,Banjir Rob,Banjir Rob
2023-07-30 16:00:00,0.250723,0.268237,1,1,Banjir Rob,Banjir Rob
2023-07-30 17:00:00,0.148751,0.169302,0,1,Normal,Banjir Rob
2023-07-30 18:00:00,0.033273,0.05726,0,0,Normal,Normal
2023-07-30 19:00:00,-0.081037,-0.054297,0,0,Normal,Normal
2023-07-30 20:00:00,-0.179365,-0.150856,0,0,Normal,Normal
2023-07-30 21:00:00,-0.251041,-0.220832,0,0,Normal,Normal
2023-07-30 22:00:00,-0.292569,-0.259502,0,0,Normal,Normal
2023-07-30 23:00:00,-0.307515,-0.270035,0,0,Normal,Normal
2023-07-31 00:00:00,-0.303417,-0.258702,0,0,Normal,Normal
2023-07-31 01:00:00,-0.287781,-0.237969,0,0,Normal,Normal
2023-07-31 02:00:00,-0.265541,-0.217678,0,0,Normal,Normal
2023-07-31 03:00:00,-0.238791,-0.198571,0,0,Normal,Normal
2023-07-31 04:00:00,-0.207735,-0.177516,0,0,Normal,Normal
2023-07-31 05:00:00,-0.171251,-0.150681,0,0,Normal,Normal
2023-07-31 06:00:00,-0.126611,-0.115394,0,0,Normal,Normal
2023-07-31 07:00:00,-0.069484,-0.069803,0,0,Normal,Normal
2023-07-31 08:00:00,0.00434,-0.009953,0,0,Normal,Normal
2023-07-31 09:00:00,0.095525,0.066553,0,0,Normal,Normal
2023-07-31 10:00:00,0.198042,0.152742,1,0,Banjir Rob,Normal
2023-07-31 11:00:00,0.298811,0.239302,1,1,Banjir Rob,Banjir Rob
2023-07-31 12:00:00,0.381038,0.318936,1,1,Banjir Rob,Banjir Rob
2023-07-31 13:00:00,0.395468,0.379841,1,1,Banjir Rob,Banjir Rob
2023-07-31 14:00:00,0.395468,0.405084,1,1,Banjir Rob,Banjir Rob
2023-07-31 15:00:00,0.395468,0.383122,1,1,Banjir Rob,Banjir Rob
2023-07-31 16:00:00,0.320571,0.31615,1,1,Banjir Rob,Banjir Rob
2023-07-31 17:00:00,0.213814,0.21594,1,1,Banjir Rob,Banjir Rob
2023-07-31 18:00:00,0.089806,0.098928,0,0,Normal,Normal
2023-07-31 19:00:00,-0.036317,-0.017216,0,0,Normal,Normal
2023-07-31 20:00:00,-0.148351,-0.11699,0,0,Normal,Normal
2023-07-31 21:00:00,-0.232608,-0.189273,0,0,Normal,Normal
2023-07-31 22:00:00,-0.282269,-0.229299,0,0,Normal,Normal
2023-07-31 23:00:00,-0.299731,-0.241779,0,0,Normal,Normal
2023-08-01 00:00:00,-0.294886,-0.237386,0,0,Normal,Normal
2023-08-01 01:00:00,-0.279938,-0.225363,0,0,Normal,Normal
2023-08-01 02:00:00,-0.263841,-0.209832,0,0,Normal,Normal
2023-08-01 03:00:00,-0.249513,-0.192915,0,0,Normal,Normal
2023-08-01 04:00:00,-0.234686,-0.176444,0,0,Normal,Normal
2023-08-01 05:00:00,-0.214606,-0.159127,0,0,Normal,Normal
2023-08-01 06:00:00,-0.18406,-0.136952,0,0,Normal,Normal
2023-08-01 07:00:00,-0.137873,-0.106316,0,0,Normal,Normal
2023-08-01 08:00:00,-0.071208,-0.062499,0,0,Normal,Normal
2023-08-01 09:00:00,0.018541,0.002013,0,0,Normal,Normal
2023-08-01 10:00:00,0.128285,0.08841,0,0,Normal,Normal
2023-08-01 11:00:00,0.246614,0.184093,1,1,Banjir Rob,Banjir Rob
2023-08-01 12:00:00,0.354851,0.276059,1,1,Banjir Rob,Banjir Rob
2023-08-01 13:00:00,0.395468,0.352362,1,1,Banjir Rob,Banjir Rob
2023-08-01 14:00:00,0.395468,0.39368,1,1,Banjir Rob,Banjir Rob
2023-08-01 15:00:00,0.395468,0.382551,1,1,Banjir Rob,Banjir Rob
2023-08-01 16:00:00,0.375565,0.318783,1,1,Banjir Rob,Banjir Rob
2023-08-01 17:00:00,0.272026,0.221032,1,1,Banjir Rob,Banjir Rob
2023-08-01 18:00:00,0.147249,0.11142,0,0,Normal,Normal
2023-08-01 19:00:00,0.016939,0.004587,0,0,Normal,Normal
2023-08-01 20:00:00,-0.102842,-0.090491,0,0,Normal,Normal
2023-08-01 21:00:00,-0.197273,-0.165228,0,0,Normal,Normal
2023-08-01 22:00:00,-0.25635,-0.211994,0,0,Normal,Normal
2023-08-01 23:00:00,-0.278851,-0.230682,0,0,Normal,Normal
2023-08-02 00:00:00,-0.273461,-0.230081,0,0,Normal,Normal
2023-08-02 01:00:00,-0.255087,-0.220374,0,0,Normal,Normal
