datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,-0.652526,-0.618599,0,0,Normal,Normal
2023-07-30 01:00:00,-0.601608,-0.589274,0,0,Normal,Normal
2023-07-30 02:00:00,-0.50696,-0.512052,0,0,Normal,Normal
2023-07-30 03:00:00,-0.384154,-0.400537,0,0,Normal,Normal
2023-07-30 04:00:00,-0.249389,-0.270257,0,0,Normal,Normal
2023-07-30 05:00:00,-0.11612,-0.13414,0,0,Normal,Normal
2023-07-30 06:00:00,0.007091,-0.001716,0,0,Normal,Normal
2023-07-30 07:00:00,0.117045,0.119066,0,0,Normal,Normal
2023-07-30 08:00:00,0.214874,0.224543,0,0,Normal,Normal
2023-07-30 09:00:00,0.30399,0.319969,1,1,Banjir Rob,Banjir Rob
2023-07-30 10:00:00,0.387612,0.412272,1,1,Banjir Rob,Banjir Rob
2023-07-30 11:00:00,0.466383,0.498615,1,1,Banjir Rob,Banjir Rob
2023-07-30 12:00:00,0.536622,0.566923,1,1,Banjir Rob,Banjir Rob
2023-07-30 13:00:00,0.589788,0.607759,1,1,Banjir Rob,Banjir Rob
2023-07-30 14:00:00,0.613675,0.617374,1,1,Banjir Rob,Banjir Rob
2023-07-30 15:00:00,0.595314,0.591869,1,1,Banjir Rob,Banjir Rob
2023-07-30 16:00:00,0.524872,0.527645,1,1,Banjir Rob,Banjir Rob
2023-07-30 17:00:00,0.399291,0.424125,1,1,Banjir Rob,Banjir Rob
2023-07-30 18:00:00,0.224414,0.283807,0,1,Normal,Banjir Rob
2023-07-30 19:00:00,0.014955,0.117744,0,0,Normal,Normal
2023-07-30 20:00:00,-0.20753,-0.062613,0,0,Normal,Normal
2023-07-30 21:00:00,-0.41801,-0.25149,0,0,Normal,Normal
2023-07-30 22:00:00,-0.591968,-0.432571,0,0,Normal,Normal
2023-07-30 23:00:00,-0.693617,-0.576314,0,0,Normal,Normal
2023-07-31 00:00:00,-0.693617,-0.658706,0,0,Normal,Normal
2023-07-31 01:00:00,-0.693617,-0.67119,0,0,Normal,Normal
2023-07-31 02:00:00,-0.654429,-0.619631,0,0,Normal,Normal
2023-07-31 03:00:00,-0.526766,-0.51776,0,0,Normal,Normal
2023-07-31 04:00:00,-0.374668,-0.384339,0,0,Normal,Normal
2023-07-31 05:00:00,-0.217496,-0.23824,0,0,Normal,Normal
2023-07-31 06:00:00,-0.069651,-0.092442,0,0,Normal,Normal
2023-07-31 07:00:00,0.061243,0.045858,0,0,Normal,Normal
2023-07-31 08:00:00,0.174019,0.172745,0,0,Normal,Normal
2023-07-31 09:00:00,0.27213,0.287973,1,1,Banjir Rob,Banjir Rob
2023-07-31 10:00:00,0.361027,0.394762,1,1,Banjir Rob,Banjir Rob
2023-07-31 11:00:00,0.445271,0.492532,1,1,Banjir Rob,Banjir Rob
2023-07-31 12:00:00,0.525759,0.572728,1,1,Banjir Rob,Banjir Rob
2023-07-31 13:00:00,0.597684,0.626172,1,1,Banjir Rob,Banjir Rob
2023-07-31 14:00:00,0.619052,0.649263,1,1,Banjir Rob,Banjir Rob
2023-07-31 15:00:00,0.619052,0.637601,1,1,Banjir Rob,Banjir Rob
2023-07-31 16:00:00,0.619052,0.586039,1,1,Banjir Rob,Banjir Rob
2023-07-31 17:00:00,0.545147,0.496364,1,1,Banjir Rob,Banjir Rob
2023-07-31 18:00:00,0.392847,0.368166,1,1,Banjir Rob,Banjir Rob
2023-07-31 19:00:00,0.189024,0.202612,0,0,Normal,Normal
2023-07-31 20:00:00,-0.047287,0.012145,0,0,Normal,Normal
2023-07-31 21:00:00,-0.290441,-0.185123,0,0,Normal,Normal
2023-07-31 22:00:00,-0.512238,-0.377083,0,0,Normal,Normal
2023-07-31 23:00:00,-0.686329,-0.54573,0,0,Normal,Normal
