datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,0.098369,0.132713,0,0,Normal,Normal
2023-07-30 01:00:00,-0.070591,-0.03055,0,0,Normal,Normal
2023-07-30 02:00:00,-0.210288,-0.17386,0,0,Normal,Normal
2023-07-30 03:00:00,-0.300392,-0.26935,0,0,Normal,Normal
2023-07-30 04:00:00,-0.332213,-0.303887,0,0,Normal,Normal
2023-07-30 05:00:00,-0.309414,-0.280974,0,0,Normal,Normal
2023-07-30 06:00:00,-0.246709,-0.219875,0,0,Normal,Normal
2023-07-30 07:00:00,-0.166758,-0.146214,0,0,Normal,Normal
2023-07-30 08:00:00,-0.095119,-0.080338,0,0,Normal,Normal
2023-07-30 09:00:00,-0.053614,-0.042234,0,0,Normal,Normal
2023-07-30 10:00:00,-0.05368,-0.044932,0,0,Normal,Normal
2023-07-30 11:00:00,-0.092228,-0.084873,0,0,Normal,Normal
2023-07-30 12:00:00,-0.152115,-0.147966,0,0,Normal,Normal
2023-07-30 13:00:00,-0.207439,-0.209763,0,0,Normal,Normal
2023-07-30 14:00:00,-0.231611,-0.240915,0,0,Normal,Normal
2023-07-30 15:00:00,-0.20511,-0.220826,0,0,Normal,Normal
2023-07-30 16:00:00,-0.120519,-0.136813,0,0,Normal,Normal
2023-07-30 17:00:00,0.015781,0.008592,0,0,Normal,Normal
2023-07-30 18:00:00,0.184591,0.179541,0,0,Normal,Normal
2023-07-30 19:00:00,0.356814,0.338427,1,1,Banjir Rob,Banjir Rob
2023-07-30 20:00:00,0.498332,0.465994,1,1,Banjir Rob,Banjir Rob
2023-07-30 21:00:00,0.57704,0.540935,1,1,Banjir Rob,Banjir Rob
2023-07-30 22:00:00,0.571178,0.549184,1,1,Banjir Rob,Banjir Rob
2023-07-30 23:00:00,0.476405,0.4822,1,1,Banjir Rob,Banjir Rob
2023-07-31 00:00:00,0.308471,0.336876,1,1,Banjir Rob,Banjir Rob
2023-07-31 01:00:00,0.099695,0.134801,0,0,Normal,Normal
2023-07-31 02:00:00,-0.109665,-0.080447,0,0,Normal,Normal
2023-07-31 03:00:00,-0.28173,-0.264122,0,0,Normal,Normal
2023-07-31 04:00:00,-0.389356,-0.385108,0,0,Normal,Normal
2023-07-31 05:00:00,-0.420632,-0.429459,0,0,Normal,Normal
2023-07-31 06:00:00,-0.37982,-0.397388,0,0,Normal,Normal
2023-07-31 07:00:00,-0.285815,-0.309128,0,0,Normal,Normal
2023-07-31 08:00:00,-0.168514,-0.194197,0,0,Normal,Normal
2023-07-31 09:00:00,-0.062569,-0.078443,0,0,Normal,Normal
2023-07-31 10:00:00,0.001437,0.002247,0,0,Normal,Normal
2023-07-31 11:00:00,0.006401,0.020667,0,0,Normal,Normal
2023-07-31 12:00:00,-0.045056,-0.025023,0,0,Normal,Normal
2023-07-31 13:00:00,-0.130813,-0.119232,0,0,Normal,Normal
2023-07-31 14:00:00,-0.216402,-0.222489,0,0,Normal,Normal
2023-07-31 15:00:00,-0.266076,-0.285472,0,0,Normal,Normal
2023-07-31 16:00:00,-0.253243,-0.280797,0,0,Normal,Normal
2023-07-31 17:00:00,-0.166932,-0.194404,0,0,Normal,Normal
2023-07-31 18:00:00,-0.013778,-0.028967,0,0,Normal,Normal
2023-07-31 19:00:00,0.183219,0.16833,0,0,Normal,Normal
2023-07-31 20:00:00,0.388111,0.355715,1,1,Banjir Rob,Banjir Rob
2023-07-31 21:00:00,0.557952,0.517702,1,1,Banjir Rob,Banjir Rob
2023-07-31 22:00:00,0.639629,0.614016,1,1,Banjir Rob,Banjir Rob
2023-07-31 23:00:00,0.639629,0.616944,1,1,Banjir Rob,Banjir Rob
2023-08-01 00:00:00,0.524824,0.524059,1,1,Banjir Rob,Banjir Rob
2023-08-01 01:00:00,0.32009,0.341976,1,1,Banjir Rob,Banjir Rob
2023-08-01 02:00:00,0.070116,0.102659,0,0,Normal,Normal
2023-08-01 03:00:00,-0.174386,-0.139571,0,0,Normal,Normal
2023-08-01 04:00:00,-0.367189,-0.336885,0,0,Normal,Normal
2023-08-01 05:00:00,-0.476645,-0.457639,0,0,Normal,Normal
2023-08-01 06:00:00,-0.490579,-0.486454,0,0,Normal,Normal
2023-08-01 07:00:00,-0.416921,-0.426291,0,0,Normal,Normal
2023-08-01 08:00:00,-0.28165,-0.30758,0,0,Normal,Normal
2023-08-01 09:00:00,-0.124183,-0.166355,0,0,Normal,Normal
2023-08-01 10:00:00,0.010844,-0.031347,0,0,Normal,Normal
2023-08-01 11:00:00,0.085299,0.057357,0,0,Normal,Normal
2023-08-01 12:00:00,0.07969,0.066746,0,0,Normal,Normal
2023-08-01 13:00:00,0.000465,-0.005956,0,0,Normal,Normal
