datetime,aktual_elev_m,prediksi_elev_m,label_aktual,label_prediksi,status_aktual,status_prediksi
2023-07-30 00:00:00,0.095732,0.092656,0,0,Normal,Normal
2023-07-30 01:00:00,-0.072498,-0.07352,0,0,Normal,Normal
2023-07-30 02:00:00,-0.210978,-0.222268,0,0,Normal,Normal
2023-07-30 03:00:00,-0.299649,-0.319456,0,0,Normal,Normal
2023-07-30 04:00:00,-0.330118,-0.343611,0,0,Normal,Normal
2023-07-30 05:00:00,-0.306315,-0.30561,0,0,Normal,Normal
2023-07-30 06:00:00,-0.243156,-0.239141,0,0,Normal,Normal
2023-07-30 07:00:00,-0.163415,-0.164668,0,0,Normal,Normal
2023-07-30 08:00:00,-0.092639,-0.087235,0,0,Normal,Normal
2023-07-30 09:00:00,-0.052484,-0.029179,0,0,Normal,Normal
2023-07-30 10:00:00,-0.054073,-0.018523,0,0,Normal,Normal
2023-07-30 11:00:00,-0.093937,-0.063288,0,0,Normal,Normal
2023-07-30 12:00:00,-0.154607,-0.142674,0,0,Normal,Normal
2023-07-30 13:00:00,-0.210021,-0.219312,0,0,Normal,Normal
2023-07-30 14:00:00,-0.233629,-0.257052,0,0,Normal,Normal
2023-07-30 15:00:00,-0.206116,-0.227876,0,0,Normal,Normal
2023-07-30 16:00:00,-0.120353,-0.128608,0,0,Normal,Normal
2023-07-30 17:00:00,0.016981,0.016065,0,0,Normal,Normal
2023-07-30 18:00:00,0.18642,0.17917,0,0,Normal,Normal
2023-07-30 19:00:00,0.358678,0.33819,1,1,Banjir Rob,Banjir Rob
2023-07-30 20:00:00,0.499572,0.469006,1,1,Banjir Rob,Banjir Rob
2023-07-30 21:00:00,0.57711,0.547395,1,1,Banjir Rob,Banjir Rob
2023-07-30 22:00:00,0.569821,0.549213,1,1,Banjir Rob,Banjir Rob
2023-07-30 23:00:00,0.473772,0.462491,1,1,Banjir Rob,Banjir Rob
2023-07-31 00:00:00,0.3051,0.305087,1,1,Banjir Rob,Banjir Rob
2023-07-31 01:00:00,0.096369,0.107286,0,0,Normal,Normal
2023-07-31 02:00:00,-0.112138,-0.103086,0,0,Normal,Normal
2023-07-31 03:00:00,-0.282723,-0.292768,0,0,Normal,Normal
2023-07-31 04:00:00,-0.388559,-0.416116,0,0,Normal,Normal
2023-07-31 05:00:00,-0.418111,-0.441198,0,0,Normal,Normal
2023-07-31 06:00:00,-0.376003,-0.380868,0,0,Normal,Normal
2023-07-31 07:00:00,-0.281432,-0.28017,0,0,Normal,Normal
2023-07-31 08:00:00,-0.164458,-0.166495,0,0,Normal,Normal
2023-07-31 09:00:00,-0.059695,-0.053076,0,0,Normal,Normal
2023-07-31 10:00:00,0.002537,0.02754,0,0,Normal,Normal
2023-07-31 11:00:00,0.005575,0.042071,0,0,Normal,Normal
2023-07-31 12:00:00,-0.047471,-0.017876,0,0,Normal,Normal
2023-07-31 13:00:00,-0.134101,-0.124453,0,0,Normal,Normal
2023-07-31 14:00:00,-0.219676,-0.226967,0,0,Normal,Normal
2023-07-31 15:00:00,-0.268522,-0.27753,0,0,Normal,Normal
2023-07-31 16:00:00,-0.254302,-0.248151,0,0,Normal,Normal
2023-07-31 17:00:00,-0.166414,-0.14596,0,0,Normal,Normal
2023-07-31 18:00:00,-0.011895,0.006803,0,0,Normal,Normal
2023-07-31 19:00:00,0.185888,0.187814,0,0,Normal,Normal
2023-07-31 20:00:00,0.390736,0.371931,1,1,Banjir Rob,Banjir Rob
2023-07-31 21:00:00,0.559656,0.52961,1,1,Banjir Rob,Banjir Rob
2023-07-31 22:00:00,0.637521,0.62987,1,1,Banjir Rob,Banjir Rob
2023-07-31 23:00:00,0.637521,0.634442,1,1,Banjir Rob,Banjir Rob
2023-08-01 00:00:00,0.521508,0.525427,1,1,Banjir Rob,Banjir Rob
2023-08-01 01:00:00,0.315928,0.329254,1,1,Banjir Rob,Banjir Rob
2023-08-01 02:00:00,0.066092,0.091004,0,0,Normal,Normal
2023-08-01 03:00:00,-0.177294,-0.153195,0,0,Normal,Normal
2023-08-01 04:00:00,-0.368241,-0.364914,0,0,Normal,Normal
2023-08-01 05:00:00,-0.475501,-0.491356,0,0,Normal,Normal
2023-08-01 06:00:00,-0.487375,-0.499432,0,0,Normal,Normal
2023-08-01 07:00:00,-0.41226,-0.408147,0,0,Normal,Normal
2023-08-01 08:00:00,-0.276501,-0.271644,0,0,Normal,Normal
2023-08-01 09:00:00,-0.119669,-0.125131,0,0,Normal,Normal
2023-08-01 10:00:00,0.013722,0.009411,0,0,Normal,Normal
2023-08-01 11:00:00,0.085942,0.095828,0,0,Normal,Normal
2023-08-01 12:00:00,0.078072,0.101208,0,0,Normal,Normal
2023-08-01 13:00:00,-0.002874,0.020415,0,0,Normal,Normal
2023-08-01 14:00:00,-0.125729,-0.110318,0,0,Normal,Normal
2023-08-01 15:00:00,-0.245575,-0.23013,0,0,Normal,Normal
2023-08-01 16:00:00,-0.318094,-0.287579,0,0,Normal,Normal
2023-08-01 17:00:00,-0.311941,-0.262307,0,0,Normal,Normal
2023-08-01 18:00:00,-0.215614,-0.161086,0,0,Normal,Normal
2023-08-01 19:00:00,-0.03898,0.000978,0,0,Normal,Normal
2023-08-01 20:00:00,0.188599,0.19925,0,0,Normal,Normal
2023-08-01 21:00:00,0.422584,0.404929,1,1,Banjir Rob,Banjir Rob
2023-08-01 22:00:00,0.610962,0.582168,1,1,Banjir Rob,Banjir Rob
2023-08-01 23:00:00,0.637521,0.688188,1,1,Banjir Rob,Banjir Rob
2023-08-02 00:00:00,0.637521,0.66487,1,1,Banjir Rob,Banjir Rob
2023-08-02 01:00:00,0.527905,0.509474,1,1,Banjir Rob,Banjir Rob
2023-08-02 02:00:00,0.284574,0.278869,1,1,Banjir Rob,Banjir Rob
2023-08-02 03:00:00,0.001353,0.026914,0,0,Normal,Normal
2023-08-02 04:00:00,-0.261973,-0.217515,0,0,Normal,Normal
2023-08-02 05:00:00,-0.454261,-0.4182,0,0,Normal,Normal
2023-08-02 06:00:00,-0.502889,-0.525397,0,0,Normal,Normal
2023-08-02 07:00:00,-0.502889,-0.507811,0,0,Normal,Normal
2023-08-02 08:00:00,-0.403127,-0.386726,0,0,Normal,Normal
2023-08-02 09:00:00,-0.223552,-0.223177,0,0,Normal,Normal
2023-08-02 10:00:00,-0.032362,-0.060341,0,0,Normal,Normal
2023-08-02 11:00:00,0.117506,0.073452,0,0,Normal,Normal
2023-08-02 12:00:00,0.184314,0.143012,0,0,Normal,Normal
2023-08-02 13:00:00,0.151325,0.122581,0,0,Normal,Normal
2023-08-02 14:00:00,0.03332,0.020919,0,0,Normal,Normal
2023-08-02 15:00:00,-0.128087,-0.118793,0,0,Normal,Normal
2023-08-02 16:00:00,-0.278495,-0.246395,0,0,Normal,Normal
2023-08-02 17:00:00,-0.367656,-0.320171,0,0,Normal,Normal
2023-08-02 18:00:00,-0.362571,-0.310062,0,0,Normal,Normal
2023-08-02 19:00:00,-0.253759,-0.204886,0,0,Normal,Normal
2023-08-02 20:00:00,-0.055915,-0.024615,0,0,Normal,Normal
